,CELH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,30.98,Valuation,
Price/Sales (TTM),14.36,5.41,Valuation,2.654343807763401
Price/Book (MRQ),140.05,12.08,Valuation,11.593543046357617
"PEG Ratio (TTM, GAAP)",,1.83,Valuation,
Gross Profit Margin (TTM),0.40270000000000006,0.5436,Profitability,0.7408020603384843
Operating Profit Margin (TTM),-0.2371,0.2061,Profitability,-1.1504124211547793
Net Profit Margin (TTM),-0.2921,0.1504,Profitability,-1.942154255319149
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0435,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),-22.0565,-56.8582,Gowth rates,0.38792117935495674
EPS Growth (TTM),-20.9542,-0.16890000000000002,Gowth rates,124.06275902901123
Revenue Growth (MRQ),0.22210000000000002,0.11,Gowth rates,2.019090909090909
Revenue Growth (TTM),1.3604,0.1207,Gowth rates,11.270919635459817
Return On Equity (TTM),-1.355,0.37020000000000003,Effectiveness,-3.6601836844948674
Return On Assets (TTM),-0.20879999999999999,0.0808,Effectiveness,-2.5841584158415842
Return On Investment (TTM),-0.26940000000000003,0.1226,Effectiveness,-2.1973898858075045
Revenue Per Employee (TTM),2577312.0,576805.0,Effectiveness,4.4682553029186645
Total Debt/Total Capital (MRQ),0.0003,0.5343,Financial strength,0.0005614823133071308
Change in Debt/Total Capital Quarter over Quarter,-0.0076,-0.0009,Financial strength,8.444444444444445
Quick Ratio (MRQ),3.22,1.07,Financial strength,3.0093457943925235
Interest Coverage (MRQ),,9.45,Financial strength,
