,TFX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.02346707040121121
Growth 1yr High Est,-0.020285499624342673
Growth 1yr Consensus Est,-0.02187628501277694
Growth 2yr Low Est,0.0006695655745881934
Growth 2yr High Est,0.018614918899485078
Growth 2yr Consensus Est,0.009642242237036636
Growth 5yr Low Est,0.05309818032099167
Growth 5yr High Est,0.05993651493977581
Growth 5yr Consensus Est,0.05651734763038374
Growth 5yr Actual/Est,0.05616883314812901
Growth 3yr Historic,0.05156194182591481
