,TFX
% Above Low,0.2291
% Held by Institutions,0.9545999999999999
52-Wk Range,['182.65 - 356.72']
Annual Dividend $,1.36
Annual Dividend %,0.006
Ask,357.82
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,138.76
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,224.49
Day Change $,-1.05
Day Change %,-0.004699999999999999
Day High,226.6
Day Low,221.69
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.71
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.35600000000000004
Last (size),447.0
Last (time),4:10p ET 11/28/22
Last Trade,224.49
Market Cap,10.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.91
Prev Close,225.54
Short Interest,0.0298
Today's Open,223.15
Volume,425275.0
Volume 10-day Avg,361531.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.02346707040121121
Growth 1yr High Est,-0.020285499624342673
Growth 1yr Consensus Est,-0.02187628501277694
Growth 2yr Low Est,0.0006695655745881934
Growth 2yr High Est,0.018614918899485078
Growth 2yr Consensus Est,0.009642242237036636
Growth 5yr Low Est,0.05309818032099167
Growth 5yr High Est,0.05993651493977581
Growth 5yr Consensus Est,0.05651734763038374
Growth 5yr Actual/Est,0.05616883314812901
Growth 3yr Historic,0.05156194182591481
Price/Earnings (TTM),25.90806
Price/Sales (TTM),3.78513
Price/Book (MRQ),2.71604
Price/Cash Flow (TTM),16.48042
5yr Low,182.65
5yr High,449.38
5yr Avg Return,-0.0005666666666666783
EPS Growth 5yr,0.1549192
Revenue Growth 5yr,0.0850534
Dividend Growth 5yr,0.0
Short Int Current Month,1392754.0
Short Int Prev Month,1298385.0
Short Int Pct of Float,0.0297538
Days to Cover,3.76843
Float,46.8105
Shares Outstanding,46.90644
Institutions Holding Shares,716.0
FCF Growth 5yr,0.41392384242125174
"Price/Earnings (TTM, GAAP)",25.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.547
Operating Profit Margin (TTM),0.1883
Net Profit Margin (TTM),0.1475
Annual Dividend Yield,0.006
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.033100000000000004
EPS Growth (TTM),-0.049400000000000006
Revenue Growth (MRQ),-0.0252
Revenue Growth (TTM),0.0131
Return On Equity (TTM),0.1092
Return On Assets (TTM),0.059800000000000006
Return On Investment (TTM),0.0653
Revenue Per Employee (TTM),199640.0
Total Debt/Total Capital (MRQ),0.3048
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.52
Interest Coverage (MRQ),9.55
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-05-17 00:00:00
cfra since,2016-07-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
