,CVLG
Price/Earnings (TTM),5.26886
Price/Sales (TTM),0.42592
Price/Book (MRQ),1.4053
Price/Cash Flow (TTM),3.06565
5yr Low,6.54
5yr High,40.37
5yr Avg Return,0.11919999999999996
EPS Growth 5yr,0.29976600000000003
Revenue Growth 5yr,0.09296760000000001
Dividend Growth 5yr,
Short Int Current Month,549719.0
Short Int Prev Month,574105.0
Short Int Pct of Float,0.0707602
Days to Cover,4.47355
Float,7.70539
Shares Outstanding,13.49429
Institutions Holding Shares,157.0
% Held by Institutions,0.6877989999999999
FCF Growth 5yr,0.20833952916407353
