,CVLG
% Below High,0.05
% Held by Institutions,0.6878
52-Wk Range,['17.23 - 40.37']
Annual Dividend $,0.32
Annual Dividend %,0.0083
Ask,38.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,27.28
Bid Size,200.0
Closing Price,38.35
Day Change $,-0.01
Day Change %,-0.0003
Day High,38.59
Day Low,38.15
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",7.28
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.515
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,518.2M
"P/E Ratio (TTM, GAAP)",5.27
Prev Close,38.36
Short Interest,0.0708
Today's Open,38.15
Volume,29881.0
Volume 10-day Avg,99522.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.647887323943662
Growth 1yr High Est,0.6574585635359116
Growth 1yr Consensus Est,0.6526729437397868
Growth 2yr Low Est,0.11881545684362588
Growth 2yr High Est,0.18289594843462248
Growth 2yr Consensus Est,0.15085570263912418
Growth 5yr Low Est,0.872076078590163
Growth 5yr High Est,0.8372521700215069
Growth 5yr Consensus Est,0.854664124305835
Growth 5yr Actual/Est,0.8596486915561021
Growth 3yr Historic,0.7782710989678202
Price/Earnings (TTM),5.26886
Price/Sales (TTM),0.42592
Price/Book (MRQ),1.4053
Price/Cash Flow (TTM),3.06565
5yr Low,6.54
5yr High,40.37
5yr Avg Return,0.11919999999999996
EPS Growth 5yr,0.29976600000000003
Revenue Growth 5yr,0.09296760000000001
Dividend Growth 5yr,
Short Int Current Month,549719.0
Short Int Prev Month,574105.0
Short Int Pct of Float,0.0707602
Days to Cover,4.47355
Float,7.70539
Shares Outstanding,13.49429
Institutions Holding Shares,157.0
FCF Growth 5yr,0.20833952916407353
"Price/Earnings (TTM, GAAP)",5.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5841
Operating Profit Margin (TTM),0.1054
Net Profit Margin (TTM),0.0941
Annual Dividend Yield,0.0083
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1559000000000001
EPS Growth (TTM),1.5894
Revenue Growth (MRQ),-0.0174
Revenue Growth (TTM),0.2436
Return On Equity (TTM),0.3222
Return On Assets (TTM),0.15660000000000002
Return On Investment (TTM),0.2095
Revenue Per Employee (TTM),270006.0
Total Debt/Total Capital (MRQ),0.19399999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0095
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-08-26 00:00:00
marketEdge opinion since,
