,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,72.28,79.0,63.16,64.54,80.71,79.66,,,,,
low,65.35,44.14,44.99,20.35,60.47,60.17,,,,,
change,0.032799999999999996,-0.3274,0.2323,0.1226,0.154,-0.0895,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,244.0,350.0,179.0,145.0,Balance Sheet
Interest-Earning Deposits,,,,,,,3.0,3.0,1.0,1.0,Balance Sheet
Fed. Fund/Resale,,,,,,,2365.0,1254.0,597.0,371.0,Balance Sheet
FHLB Stock,,,,,,,22.0,22.0,18.0,19.0,Balance Sheet
Total Invest. Securities,,,,,,,2007.0,2127.0,2054.0,1938.0,Balance Sheet
Loans Held for Sale,,,,,,,32.0,23.0,27.0,22.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,4428.0,3428.0,2697.0,2351.0,Balance Sheet
Total Gross Loans,,,,,,,12439.0,12528.0,13518.0,13695.0,Balance Sheet
Loan Loss Allowances,,,,,,,-149.0,-146.0,-144.0,-146.0,Balance Sheet
Unearned Income,,,,,,,0.0,,,,Balance Sheet
Net Loans,,,,,,,12291.0,12382.0,13374.0,13548.0,Balance Sheet
Buildings,,,,,,,193.0,,,,Balance Sheet
Land/Improvements,,,,,,,79.0,,,,Balance Sheet
Construction in Progress,,,,,,,45.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,62.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,380.0,,,,Balance Sheet
Accumulated Depreciation,,,,,,,-72.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,308.0,324.0,338.0,343.0,Balance Sheet
"Goodwill, Net",,,,,,,994.0,994.0,994.0,994.0,Balance Sheet
Intangibles - Net,,,,,,,75.0,72.0,69.0,66.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,26.0,45.0,69.0,82.0,Balance Sheet
Other Real Estate Owned,,,,,,,0.0,,13.0,24.0,Balance Sheet
Other Assets,,,,,,,366.0,367.0,373.0,391.0,Balance Sheet
"Other Assets, Total",,,,,,,366.0,367.0,386.0,415.0,Balance Sheet
Total Assets,,,,,,,18733.0,17963.0,18107.0,17944.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,5067.0,5004.0,5123.0,5107.0,Balance Sheet
Interest Bearing Deposits,,,,,,,10487.0,9847.0,9941.0,9854.0,Balance Sheet
Total Deposits,,,,,,,15554.0,14850.0,15064.0,14961.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,,150.0,150.0,175.0,200.0,Balance Sheet
Total Long Term Debt,,,,,,,338.0,324.0,389.0,321.0,Balance Sheet
Total Debt,,,,,,,338.0,324.0,389.0,321.0,Balance Sheet
"Other Liabilities, Total",,,,,,,114.0,117.0,115.0,108.0,Balance Sheet
Total Liabilities,,,,,,,16156.0,15441.0,15743.0,15590.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1945.0,1948.0,1951.0,1955.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,625.0,657.0,578.0,614.0,Balance Sheet
"Other Equity, Total",,,,,,,5.0,-83.0,-166.0,-215.0,Balance Sheet
Total Equity,,,,,,,2577.0,2522.0,2364.0,2354.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,18733.0,17963.0,18107.0,17944.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,43.0,43.0,41.0,41.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,,,135619.0,129179.0,138426.0,160160.0,Income Statement
Inter & Divs/ Invest Securs,,,,,,,10335.0,11686.0,12270.0,13527.0,Income Statement
"Interest Income, Bank",,,,,,,145954.0,140865.0,150696.0,173687.0,Income Statement
Interest on Deposit,,,,,,,8858.0,5610.0,8110.0,21586.0,Income Statement
Inter on Other Borrowings,,,,,,,4445.0,4107.0,4587.0,4827.0,Income Statement
Total Interest Expense,,,,,,,13303.0,9717.0,12697.0,26413.0,Income Statement
Net Interest Income,,,,,,,132651.0,131148.0,137999.0,147274.0,Income Statement
Loan Loss Provision,,,,,,,0.0,-1443.0,0.0,3100.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,,,132651.0,132591.0,137999.0,144174.0,Income Statement
Fees & Commish from Operat,,,,,,,9620.0,3710.0,3781.0,3790.0,Income Statement
Commish & Fees/Secur Act,,,,,,,6690.0,5477.0,4881.0,4335.0,Income Statement
Real Estate Operation Gain,,,,,,,0.0,,,0.0,Income Statement
Invest Securities Gains,,,,,,,13.0,,,,Income Statement
Other Unusual Income,,,,,,,-243.0,-163.0,-46.0,-101.0,Income Statement
Other Revenue,,,,,,,-994.0,3861.0,5261.0,5453.0,Income Statement
"Non-Interest Income, Bank",,,,,,,15086.0,12885.0,13877.0,13477.0,Income Statement
Labor & Related Expenses,,,,,,,-46268.0,-49555.0,-51130.0,-54152.0,Income Statement
Amortization of Intangibles,,,,,,,-3145.0,-3145.0,-3118.0,-3117.0,Income Statement
Real Estate Operat Expnse,,,,,,,0.0,0.0,-66.0,-133.0,Income Statement
Other Unusual Expense,,,,,,,0.0,,,,Income Statement
Other Expense,,,,,,,-30495.0,-29757.0,-31611.0,-34331.0,Income Statement
"Non-Interest Expense, Bank",,,,,,,-79908.0,-82457.0,-85925.0,-91733.0,Income Statement
Income Before Tax,,,,,,,67829.0,63019.0,65951.0,65918.0,Income Statement
Income Tax - Total,,,,,,,13642.0,12279.0,13591.0,13481.0,Income Statement
Income After Tax,,,,,,,54187.0,50740.0,52360.0,52437.0,Income Statement
Net Inc Before Extra Items,,,,,,,54187.0,50740.0,52360.0,52437.0,Income Statement
Total Net Income,,,,,,,54187.0,50740.0,52360.0,52437.0,Income Statement
Total Adjust to Net Income,,,,,,,-465.0,-391.0,-426.0,-395.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,53722.0,50349.0,51934.0,52042.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,53722.0,50349.0,51934.0,52042.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,42502.0,42439.0,41398.0,40857.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.26,1.19,1.25,1.27,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.26,1.19,1.25,1.27,Income Statement
Diluted Weighted Average Shares,,,,,,,42569.0,42512.0,41473.0,40943.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.26,1.18,1.25,1.27,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.26,1.18,1.25,1.27,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.36,0.38,0.38,0.38,Income Statement
Gross Divid - Common Stock,,,,,,,15480.0,16281.0,16008.0,15695.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,3112.0,3292.0,3150.0,4232.0,Income Statement
Total Special Items,,,,,,,243.0,163.0,46.0,101.0,Income Statement
Normalzd Income Before Tax,,,,,,,68072.0,63182.0,65997.0,66019.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,49.0,32.0,9.0,21.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,13691.0,12311.0,13600.0,13502.0,Income Statement
Normalized Income After Tax,,,,,,,54381.0,50871.0,52397.0,52517.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,53916.0,50480.0,51971.0,52122.0,Income Statement
Basic Normalized EPS,,,,,,,1.27,1.19,1.26,1.28,Income Statement
Diluted Normalized EPS,,,,,,,1.27,1.19,1.25,1.27,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,225.0,51.0,103.0,156.0,Cash Flow
Depreciation/Depletion,,,,,,,12.0,3.0,6.0,11.0,Cash Flow
Amortization,,,,,,,13.0,3.0,6.0,9.0,Cash Flow
Deferred Taxes,,,,,,,5.0,4.0,2.0,3.0,Cash Flow
Unusual Items,,,,,,,0.0,0.0,0.0,1.0,Cash Flow
Other Non-Cash Items,,,,,,,16.0,3.0,9.0,14.0,Cash Flow
