,IBTX
% Above Low,0.0993
% Held by Institutions,0.7734000000000001
52-Wk Range,['60.17 - 79.66']
Annual Dividend $,1.52
Annual Dividend %,0.023
Ask,66.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,65.66
Bid Size,100.0
Closing Price,66.14
Day Change $,0.73
Day Change %,0.011200000000000002
Day High,66.4
Day Low,65.37
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.97
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.28
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",13.31
Prev Close,65.41
Short Interest,0.0353
Today's Open,65.37
Volume,30303.0
Volume 10-day Avg,114843.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.017341040462427904
Growth 1yr High Est,-0.01904761904761898
Growth 1yr Consensus Est,-0.018194329755023442
Growth 2yr Low Est,-0.0037685594469001327
Growth 2yr High Est,0.02445677300046234
Growth 2yr Consensus Est,0.010344106776781103
Growth 5yr Low Est,0.033204644510211045
Growth 5yr High Est,0.0445150517119291
Growth 5yr Consensus Est,0.03885984811107007
Growth 5yr Actual/Est,0.04358748719660102
Growth 3yr Historic,0.04009360523882749
Price/Earnings (TTM),13.30878
Price/Sales (TTM),4.50816
Price/Book (MRQ),1.15644
Price/Cash Flow (TTM),11.5437
5yr Low,20.35
5yr High,80.71
5yr Avg Return,0.0208
EPS Growth 5yr,0.125944
Revenue Growth 5yr,0.22674209999999997
Dividend Growth 5yr,0.3116531
Short Int Current Month,1247675.0
Short Int Prev Month,1438009.0
Short Int Pct of Float,0.0353044
Days to Cover,10.64351
Float,35.33864
Shares Outstanding,41.19621
Institutions Holding Shares,275.0
FCF Growth 5yr,7.266199208917655
"Price/Earnings (TTM, GAAP)",13.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4347
Net Profit Margin (TTM),0.34700000000000003
Annual Dividend Yield,0.023
Dividend Change %,0.2571
"Dividend Growth Rate, 3 Years",0.3471
EPS Growth (MRQ),0.0151
EPS Growth (TTM),-0.0626
Revenue Growth (MRQ),0.1526
Revenue Growth (TTM),0.0365
Return On Equity (TTM),0.08460000000000001
Return On Assets (TTM),0.011399999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-20 00:00:00
researchTeam since,2022-11-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
