,HCAT
% Above Low,0.5281
% Held by Institutions,0.9018
52-Wk Range,['6.40 - 44.53']
Annual Dividend $,
Annual Dividend %,
Ask,9.77
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,8.42
Bid Size,100.0
Closing Price,9.78
Day Change $,-0.2
Day Change %,-0.02
Day High,10.03
Day Low,9.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.83
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),31.0
Last (time),1:00p ET 11/25/22
Market Cap,535.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.98
Short Interest,0.0405
Today's Open,9.95
Volume,258770.0
Volume 10-day Avg,1085963.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7884615384615385
Growth 2yr High Est,-1.2727272727272727
Growth 2yr Consensus Est,-0.24213286713286708
Growth 5yr Low Est,0.7884615384615385
Growth 5yr High Est,-1.2727272727272727
Growth 5yr Consensus Est,-0.24213286713286708
Growth 5yr Actual/Est,-0.2937565886569682
Growth 3yr Historic,-0.15176312460468058
Price/Earnings (TTM),
Price/Sales (TTM),1.97014
Price/Book (MRQ),1.20512
Price/Cash Flow (TTM),
5yr Low,6.4
5yr High,59.5
5yr Avg Return,-0.16870000000000002
Short Int Current Month,2144038.0
Short Int Prev Month,2460531.0
Short Int Pct of Float,0.0404638
Days to Cover,1.13227
Float,53.02009
Shares Outstanding,54.75104
Institutions Holding Shares,238.0
FCF Growth 5yr,1.6432345103973438
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4924
Operating Profit Margin (TTM),-0.5446
Net Profit Margin (TTM),-0.5542
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3523
EPS Growth (TTM),0.1326
Revenue Growth (MRQ),-0.0323
Revenue Growth (TTM),0.17920000000000003
Return On Equity (TTM),-0.3045
Return On Assets (TTM),-0.1857
Return On Investment (TTM),-0.2377
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.3395
Change in Debt/Total Capital Quarter over Quarter,0.0039000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2020-08-26 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
