,CHUY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.89,114.03,Valuation,0.21827589230904149
Price/Sales (TTM),1.36,5.62,Valuation,0.2419928825622776
Price/Book (MRQ),2.32,8.49,Valuation,0.27326266195524146
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.7319,0.4054,Profitability,1.8053774050320672
Operating Profit Margin (TTM),0.06570000000000001,0.163,Profitability,0.40306748466257675
Net Profit Margin (TTM),0.058499999999999996,0.0779,Profitability,0.7509627727856226
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.3586,0.3309,Gowth rates,-1.0837110909640373
EPS Growth (TTM),-0.0175,2.1359,Gowth rates,-0.00819326747506906
Revenue Growth (MRQ),-0.0384,0.38439999999999996,Gowth rates,-0.09989594172736732
Revenue Growth (TTM),0.107,0.7695000000000001,Gowth rates,0.13905133203378817
Return On Equity (TTM),0.095,0.19090000000000001,Effectiveness,0.4976427448926139
Return On Assets (TTM),0.049800000000000004,0.0758,Effectiveness,0.6569920844327177
Return On Investment (TTM),0.0546,0.1005,Effectiveness,0.5432835820895522
Revenue Per Employee (TTM),62206.0,285753.0,Effectiveness,0.21769150280137042
Total Debt/Total Capital (MRQ),0.0,1.1596,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),2.11,0.81,Financial strength,2.604938271604938
Interest Coverage (MRQ),,40.22,Financial strength,
