,CHUY
% Below High,0.0889
% Held by Institutions,1.0110999999999999
52-Wk Range,['18.64 - 34.64']
Annual Dividend $,
Annual Dividend %,
Ask,32.8
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,1.6
Bid,27.0
Bid Size,500.0
Closing Price,31.56
Day Change $,-0.24
Day Change %,-0.0075
Day High,31.84
Day Low,31.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.49700000000000005
Last (size),61.0
Last (time),1:00p ET 11/25/22
Market Cap,568.0M
"P/E Ratio (TTM, GAAP)",24.89
Prev Close,31.8
Short Interest,0.0537
Today's Open,31.67
Volume,31568.0
Volume 10-day Avg,89621.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27840909090909094
Growth 1yr High Est,-0.27956989247311825
Growth 1yr Consensus Est,-0.2789894916911046
Growth 2yr Low Est,-0.11164549033643517
Growth 2yr High Est,-0.039038677579842695
Growth 2yr Consensus Est,-0.07534208395813893
Growth 5yr Low Est,0.1386216992762269
Growth 5yr High Est,0.19087670081403907
Growth 5yr Consensus Est,0.16474920004513297
Growth 5yr Actual/Est,0.21714997964997962
Growth 3yr Historic,0.26442307692307687
Price/Earnings (TTM),24.89332
Price/Sales (TTM),1.36274
Price/Book (MRQ),2.32285
Price/Cash Flow (TTM),12.75318
5yr Low,7.28
5yr High,49.99
5yr Avg Return,0.08520000000000001
EPS Growth 5yr,0.0803645
Revenue Growth 5yr,0.036996799999999996
Dividend Growth 5yr,
Short Int Current Month,954438.0
Short Int Prev Month,954879.0
Short Int Pct of Float,0.0537153
Days to Cover,9.78339
Float,17.76176
Shares Outstanding,17.99629
Institutions Holding Shares,190.0
FCF Growth 5yr,0.3468007336448941
"Price/Earnings (TTM, GAAP)",24.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7319
Operating Profit Margin (TTM),0.06570000000000001
Net Profit Margin (TTM),0.058499999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3586
EPS Growth (TTM),-0.0175
Revenue Growth (MRQ),-0.0384
Revenue Growth (TTM),0.107
Return On Equity (TTM),0.095
Return On Assets (TTM),0.049800000000000004
Return On Investment (TTM),0.0546
Revenue Per Employee (TTM),62206.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.11
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-07-15 00:00:00
ford since,2021-12-17 00:00:00
cfra since,
theStreet since,2021-07-15 00:00:00
newConstructs since,
marketEdge opinion since,
