,MAT
% Above Low,0.08960000000000001
% Held by Institutions,0.9818000000000001
52-Wk Range,['16.51 - 26.99']
Annual Dividend $,
Annual Dividend %,
Ask,18.6
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,16.51
Bid Size,100.0
Closing Price,17.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.408
Last (size),88.0
Last (time),1:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.78
Prev Close,17.99
Short Interest,0.0762
Today's Open,
Volume,1102373.0
Volume 10-day Avg,5317928.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.16417910447761197
Growth 2yr High Est,0.2534246575342467
Growth 2yr Consensus Est,0.20880188100592934
Growth 5yr Low Est,0.16417910447761197
Growth 5yr High Est,0.2534246575342467
Growth 5yr Consensus Est,0.20880188100592934
Growth 5yr Actual/Est,-0.2753459503459504
Growth 3yr Historic,-0.3481481481481482
Price/Earnings (TTM),10.77659
Price/Sales (TTM),1.09404
Price/Book (MRQ),3.24055
Price/Cash Flow (TTM),8.30017
5yr Low,6.53
5yr High,26.99
5yr Avg Return,0.033883333333333335
EPS Growth 5yr,0.2269538
Revenue Growth 5yr,0.00016830000000000003
Dividend Growth 5yr,
Short Int Current Month,26867761.0
Short Int Prev Month,22950069.0
Short Int Pct of Float,0.0762279
Days to Cover,5.21047
Float,352.6713
Shares Outstanding,354.4016
Institutions Holding Shares,475.0
FCF Growth 5yr,0.019565630643474902
"Price/Earnings (TTM, GAAP)",10.78
"PEG Ratio (TTM, GAAP)",0.88
Gross Profit Margin (TTM),0.47619999999999996
Operating Profit Margin (TTM),0.14650000000000002
Net Profit Margin (TTM),0.1003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.2811000000000003
EPS Growth (TTM),-0.26480000000000004
Revenue Growth (MRQ),0.42090000000000005
Revenue Growth (TTM),0.10189999999999999
Return On Equity (TTM),0.3679
Return On Assets (TTM),0.09179999999999999
Return On Investment (TTM),0.1235
Revenue Per Employee (TTM),160542.0
Total Debt/Total Capital (MRQ),0.5668
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),12.36
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-06 00:00:00
theStreet since,2021-10-22 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-08-26 00:00:00
marketEdge opinion since,
