,STAA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",78.12,61.36,Valuation,1.2731421121251632
Price/Sales (TTM),10.33,9.8,Valuation,1.054081632653061
Price/Book (MRQ),9.01,10.31,Valuation,0.8739088263821532
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7825,0.6196,Profitability,1.2629115558424788
Operating Profit Margin (TTM),0.17980000000000002,0.047,Profitability,3.8255319148936175
Net Profit Margin (TTM),0.1354,0.009300000000000001,Profitability,14.559139784946234
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.2181,-0.4858,Gowth rates,0.44895018526142444
EPS Growth (TTM),0.6523000000000001,-0.2029,Gowth rates,-3.214884179398719
Revenue Growth (MRQ),-0.06230000000000001,0.1161,Gowth rates,-0.5366063738156762
Revenue Growth (TTM),0.2845,0.18300000000000002,Gowth rates,1.554644808743169
Return On Equity (TTM),0.1329,0.1068,Effectiveness,1.24438202247191
Return On Assets (TTM),0.1052,0.0622,Effectiveness,1.6913183279742765
Return On Investment (TTM),0.12060000000000001,0.0732,Effectiveness,1.6475409836065575
Revenue Per Employee (TTM),403682.0,403586.0,Effectiveness,1.0002378675177037
Total Debt/Total Capital (MRQ),0.0013000000000000002,0.3161,Financial strength,0.004112622587788675
Change in Debt/Total Capital Quarter over Quarter,-0.0075,0.0125,Financial strength,-0.6
Quick Ratio (MRQ),6.11,2.25,Financial strength,2.7155555555555555
Interest Coverage (MRQ),11.12,14.99,Financial strength,0.7418278852568378
