,STAA
% Above Low,0.1923
% Held by Institutions,0.981
52-Wk Range,['49.03 - 112.27']
Annual Dividend $,
Annual Dividend %,
Ask,58.48
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.0
Bid,58.43
Bid Size,300.0
Day Change $,-1.4
Day Change %,-0.023399999999999997
Day High,60.21
Day Low,58.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.77
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),100.0
Last (time),3:23p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",78.12
Prev Close,59.86
Price,58.46
Short Interest,0.049400000000000006
Today's Open,59.63
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.38775510204081653
Growth 1yr High Est,0.43137254901960786
Growth 1yr Consensus Est,0.4095638255302122
Growth 2yr Low Est,0.3115246098439376
Growth 2yr High Est,0.5513027128659683
Growth 2yr Consensus Est,0.43141366135495296
Growth 5yr Low Est,0.3115246098439376
Growth 5yr High Est,0.5513027128659683
Growth 5yr Consensus Est,0.43141366135495296
Growth 5yr Actual/Est,0.8769483568075118
Growth 3yr Historic,0.6416666666666667
Price/Earnings (TTM),78.11868
Price/Sales (TTM),10.32987
Price/Book (MRQ),9.01307
Price/Cash Flow (TTM),68.88258
5yr Low,13.6
5yr High,163.08
5yr Avg Return,0.35418333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.22829999999999998
Dividend Growth 5yr,
Short Int Current Month,2365032.0
Short Int Prev Month,3067978.0
Short Int Pct of Float,0.049444800000000004
Days to Cover,3.35591
Float,47.89403
Shares Outstanding,48.2063
Institutions Holding Shares,394.0
FCF Growth 5yr,6.413957137183995
"Price/Earnings (TTM, GAAP)",78.12
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7825
Operating Profit Margin (TTM),0.17980000000000002
Net Profit Margin (TTM),0.1354
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2181
EPS Growth (TTM),0.6523000000000001
Revenue Growth (MRQ),-0.06230000000000001
Revenue Growth (TTM),0.2845
Return On Equity (TTM),0.1329
Return On Assets (TTM),0.1052
Return On Investment (TTM),0.12060000000000001
Revenue Per Employee (TTM),403682.0
Total Debt/Total Capital (MRQ),0.0013000000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0075
Quick Ratio (MRQ),6.11
Interest Coverage (MRQ),11.12
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-09-29 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
