,ETR
Price/Earnings (TTM),18.48785
Price/Sales (TTM),1.75162
Price/Book (MRQ),1.91348
Price/Cash Flow (TTM),6.70567
5yr Low,71.95
5yr High,135.55
5yr Avg Return,0.06083333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.016024
Dividend Growth 5yr,0.0245007
Short Int Current Month,2618511.0
Short Int Prev Month,5884986.0
Short Int Pct of Float,0.0129234
Days to Cover,2.10175
Float,202.7098
Shares Outstanding,203.4837
Institutions Holding Shares,968.0
% Held by Institutions,0.9047839999999999
FCF Growth 5yr,0.12039474573913304
