,ETR
% Below High,0.10300000000000001
% Held by Institutions,0.9048
52-Wk Range,['94.94 - 126.82']
Annual Dividend $,4.28
Annual Dividend %,0.037599999999999995
Ask,130.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,91.93
Bid Size,100.0
Closing Price,113.75
Day Change $,0.79
Day Change %,0.006999999999999999
Day High,114.27
Day Low,112.96
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",6.15
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.251
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,24.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.49
Prev Close,112.96
Short Interest,0.0129
Today's Open,113.66
Volume,723561.0
Volume 10-day Avg,1105605.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.12701252236135963
Growth 1yr High Est,0.061056105610561184
Growth 1yr Consensus Est,0.0940343139859604
Growth 2yr Low Est,0.09445864213306077
Growth 2yr High Est,0.06785309168552944
Growth 2yr Consensus Est,0.0811558669092951
Growth 5yr Low Est,0.05887786739800449
Growth 5yr High Est,0.0621837089661012
Growth 5yr Consensus Est,0.06053078818205285
Growth 5yr Actual/Est,0.057779103277618205
Growth 3yr Historic,0.027938097107708393
Price/Earnings (TTM),18.48785
Price/Sales (TTM),1.75162
Price/Book (MRQ),1.91348
Price/Cash Flow (TTM),6.70567
5yr Low,71.95
5yr High,135.55
5yr Avg Return,0.06083333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.016024
Dividend Growth 5yr,0.0245007
Short Int Current Month,2618511.0
Short Int Prev Month,5884986.0
Short Int Pct of Float,0.0129234
Days to Cover,2.10175
Float,202.7098
Shares Outstanding,203.4837
Institutions Holding Shares,968.0
FCF Growth 5yr,0.12039474573913304
"Price/Earnings (TTM, GAAP)",18.49
"PEG Ratio (TTM, GAAP)",2.99
Gross Profit Margin (TTM),0.36950000000000005
Operating Profit Margin (TTM),0.1471
Net Profit Margin (TTM),0.0942
Annual Dividend Yield,0.0376
Dividend Change %,0.032100000000000004
"Dividend Growth Rate, 3 Years",0.025400000000000002
EPS Growth (MRQ),2.5125
EPS Growth (TTM),-0.005699999999999999
Revenue Growth (MRQ),0.2425
Revenue Growth (TTM),0.16010000000000002
Return On Equity (TTM),0.1076
Return On Assets (TTM),0.0211
Return On Investment (TTM),0.023700000000000002
Revenue Per Employee (TTM),1068332.0
Total Debt/Total Capital (MRQ),0.6898000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.69
Interest Coverage (MRQ),4.25
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2018-04-26 00:00:00
researchTeam since,2021-11-03 00:00:00
cfra since,2021-11-03 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
