,XNCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",61.22,471.78,Valuation,0.12976387299164865
Price/Sales (TTM),5.76,45.03,Valuation,0.1279147235176549
Price/Book (MRQ),2.36,12.61,Valuation,0.18715305313243458
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),0.17500000000000002,-4.7459,Profitability,-0.03687393328978698
Net Profit Margin (TTM),0.10070000000000001,-4.5467,Profitability,-0.022147931466778105
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0382,-0.0014000000000000002,Gowth rates,-27.28571428571428
EPS Growth (TTM),5.5049,0.027200000000000002,Gowth rates,202.3860294117647
Revenue Growth (MRQ),-0.0953,1.3963999999999999,Gowth rates,-0.068246920653108
Revenue Growth (TTM),0.8226000000000001,0.9747,Gowth rates,0.8439519852262236
Return On Equity (TTM),0.0446,0.1967,Effectiveness,0.22674123029994914
Return On Assets (TTM),0.039,0.0016,Effectiveness,24.375
Return On Investment (TTM),0.042800000000000005,0.0219,Effectiveness,1.9543378995433793
Revenue Per Employee (TTM),1169228.0,1476201.0,Effectiveness,0.7920520308548769
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
