,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.31,48.38,46.33,47.85,58.35,42.3,,,,,
low,19.89,20.16,27.75,19.35,30.12,19.36,,,,,
change,0.0646,0.6369,-0.0313,0.25920000000000004,-0.0909,-0.3034,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,143.0,78.0,49.0,53.0,Balance Sheet
Short Term Investments,,,,,,,191.0,311.0,463.0,548.0,Balance Sheet
Cash and Short Term Invs,,,,,,,334.0,390.0,512.0,600.0,Balance Sheet
"Total Receivables, Net",,,,,,,66.0,93.0,54.0,45.0,Balance Sheet
Prepaid Expenses,,,,,,,24.0,23.0,20.0,23.0,Balance Sheet
Total Current Assets,,,,,,,424.0,506.0,586.0,668.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,60.0,59.0,70.0,71.0,Balance Sheet
Intangibles - Net,,,,,,,16.0,17.0,18.0,18.0,Balance Sheet
Long Term Investments,,,,,,,332.0,270.0,172.0,73.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,5.0,5.0,5.0,5.0,Balance Sheet
Other Long Term Assets,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,,,838.0,858.0,851.0,835.0,Balance Sheet
Accounts Payable,,,,,,,14.0,12.0,16.0,15.0,Balance Sheet
Accrued Expenses,,,,,,,19.0,14.0,24.0,40.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,37.0,35.0,35.0,35.0,Balance Sheet
Income Taxes Payable,,,,,,,,,,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,37.0,35.0,35.0,36.0,Balance Sheet
Total Current Liabilities,,,,,,,71.0,61.0,75.0,90.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,34.0,34.0,34.0,23.0,Balance Sheet
Total Liabilities,,,,,,,105.0,95.0,109.0,113.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1018.0,1029.0,1044.0,1058.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-283.0,-260.0,-293.0,-326.0,Balance Sheet
"Other Equity, Total",,,,,,,-2.0,-7.0,-9.0,-10.0,Balance Sheet
Total Equity,,,,,,,734.0,763.0,742.0,723.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,838.0,858.0,851.0,835.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,59.0,60.0,60.0,60.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,154015.0,85495.0,30175.0,27299.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,7862.0,4142.0,2838.0,7638.0,Income Statement
Labor & Related Expense,,,,,,,3513.0,7131.0,8253.0,4736.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,11375.0,11273.0,11091.0,12374.0,Income Statement
Research & Development,,,,,,,50988.0,47756.0,47084.0,53273.0,Income Statement
Unusual Expense (Income),,,,,,,-200.0,,,,Income Statement
Total Operating Expense,,,,,,,62163.0,59029.0,58175.0,65647.0,Income Statement
Total Operating Income,,,,,,,91852.0,26466.0,-28000.0,-38348.0,Income Statement
"Inter Income, Non-Operating",,,,,,,291.0,653.0,717.0,1379.0,Income Statement
"Invest Income, Non-Operat",,,,,,,-18218.0,-3429.0,-6545.0,5299.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,-17927.0,-2776.0,-5828.0,6678.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,-864.0,-96.0,-147.0,-1.0,Income Statement
"Other, Net",,,,,,,-864.0,-96.0,-147.0,-1.0,Income Statement
Income Before Tax,,,,,,,73061.0,23594.0,-33975.0,-31671.0,Income Statement
Income Tax - Total,,,,,,,0.0,,,1088.0,Income Statement
Income After Tax,,,,,,,73061.0,23594.0,-33975.0,-32759.0,Income Statement
Net Inc Before Extra Items,,,,,,,73061.0,23594.0,-33975.0,-32759.0,Income Statement
Total Net Income,,,,,,,73061.0,23594.0,-33975.0,-32759.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,73061.0,23594.0,-33975.0,-32759.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,73061.0,23594.0,-33975.0,-32759.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,58919.0,59408.0,59567.0,59717.0,Income Statement
