,XNCR
% Above Low,0.4554
% Held by Institutions,1.0337
52-Wk Range,['19.36 - 42.30']
Annual Dividend $,
Annual Dividend %,
Ask,28.16
Ask Size,1000.0
B/A Ratio,0.8
B/A Size,800x1000
Beta,0.6
Bid,28.14
Bid Size,800.0
Closing Price,28.17
Day Change $,-0.37
Day Change %,-0.013000000000000001
Day High,28.75
Day Low,27.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.484
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",61.22
Prev Close,28.54
Short Interest,0.069
Today's Open,28.57
Volume,329870.0
Volume 10-day Avg,285444.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.7903930131004364
Growth 2yr High Est,0.15267175572519087
Growth 2yr Consensus Est,0.47153238441281364
Growth 5yr Low Est,0.7903930131004364
Growth 5yr High Est,0.15267175572519087
Growth 5yr Consensus Est,0.47153238441281364
Growth 5yr Actual/Est,-1.8054662848667637
Growth 3yr Historic,-1.4406665468918434
Price/Earnings (TTM),61.21705
Price/Sales (TTM),5.75867
Price/Book (MRQ),2.3605
Price/Cash Flow (TTM),44.2286
5yr Low,19.35
5yr High,58.35
5yr Avg Return,0.08918333333333331
EPS Growth 5yr,0.0511158
Revenue Growth 5yr,0.2033733
Dividend Growth 5yr,
Short Int Current Month,4102712.0
Short Int Prev Month,4033136.0
Short Int Pct of Float,0.0690074
Days to Cover,10.35442
Float,59.45325
Shares Outstanding,59.92402
Institutions Holding Shares,273.0
FCF Growth 5yr,2.974967793430008
"Price/Earnings (TTM, GAAP)",61.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.17500000000000002
Net Profit Margin (TTM),0.10070000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0382
EPS Growth (TTM),5.5049
Revenue Growth (MRQ),-0.0953
Revenue Growth (TTM),0.8226000000000001
Return On Equity (TTM),0.0446
Return On Assets (TTM),0.039
Return On Investment (TTM),0.042800000000000005
Revenue Per Employee (TTM),1169228.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-06-17 00:00:00
theStreet since,2022-02-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
