,KE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.48,21.62,Valuation,0.484736355226642
Price/Sales (TTM),0.39,5.43,Valuation,0.07182320441988951
Price/Book (MRQ),1.24,5.49,Valuation,0.22586520947176683
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.0809,0.33659999999999995,Profitability,0.2403446226975639
Operating Profit Margin (TTM),0.04190000000000001,-0.0824,Profitability,-0.508495145631068
Net Profit Margin (TTM),0.0375,-0.1173,Profitability,-0.319693094629156
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.0791,0.1058,Gowth rates,-0.7476370510396976
EPS Growth (TTM),0.055400000000000005,-0.0147,Gowth rates,-3.768707482993198
Revenue Growth (MRQ),0.0867,0.1655,Gowth rates,0.5238670694864048
Revenue Growth (TTM),0.16760000000000003,0.1855,Gowth rates,0.9035040431266848
Return On Equity (TTM),0.12240000000000001,0.23850000000000002,Effectiveness,0.5132075471698113
Return On Assets (TTM),0.056600000000000004,0.0752,Effectiveness,0.7526595744680852
Return On Investment (TTM),0.0936,0.1041,Effectiveness,0.899135446685879
Revenue Per Employee (TTM),203154.0,449465.0,Effectiveness,0.45199070005450925
Total Debt/Total Capital (MRQ),0.3376,0.3575,Financial strength,0.9443356643356644
Change in Debt/Total Capital Quarter over Quarter,0.0144,0.0362,Financial strength,0.39779005524861877
Quick Ratio (MRQ),0.84,1.53,Financial strength,0.5490196078431372
Interest Coverage (MRQ),8.46,15.46,Financial strength,0.5472186287192756
