,KE
% Below High,0.04019999999999999
% Held by Institutions,0.6707
52-Wk Range,['16.66 - 23.87']
Annual Dividend $,
Annual Dividend %,
Ask,30.17
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,9.15
Bid Size,200.0
Closing Price,22.91
Day Change $,0.04
Day Change %,0.0017000000000000001
Day High,23.07
Day Low,22.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.19
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,566.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.48
Prev Close,22.87
Short Interest,0.0113
Today's Open,23.07
Volume,17091.0
Volume 10-day Avg,56119.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.22077922077922074
Growth 2yr Consensus Est,0.11038961038961037
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.22077922077922074
Growth 5yr Consensus Est,0.11038961038961037
Growth 5yr Actual/Est,0.387391749770876
Growth 3yr Historic,0.1413473298002445
Price/Earnings (TTM),10.47755
Price/Sales (TTM),0.38703
Price/Book (MRQ),1.24079
Price/Cash Flow (TTM),6.81966
5yr Low,9.78
5yr High,30.61
5yr Avg Return,0.03128333333333334
EPS Growth 5yr,0.050851600000000004
Revenue Growth 5yr,0.07709730000000001
Dividend Growth 5yr,
Short Int Current Month,263729.0
Short Int Prev Month,300619.0
Short Int Pct of Float,0.011255999999999999
Days to Cover,5.14814
Float,23.49483
Shares Outstanding,24.71033
Institutions Holding Shares,182.0
FCF Growth 5yr,0.09142389241531386
"Price/Earnings (TTM, GAAP)",10.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0809
Operating Profit Margin (TTM),0.04190000000000001
Net Profit Margin (TTM),0.0375
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0791
EPS Growth (TTM),0.055400000000000005
Revenue Growth (MRQ),0.0867
Revenue Growth (TTM),0.16760000000000003
Return On Equity (TTM),0.12240000000000001
Return On Assets (TTM),0.056600000000000004
Return On Investment (TTM),0.0936
Revenue Per Employee (TTM),203154.0
Total Debt/Total Capital (MRQ),0.3376
Change in Debt/Total Capital Quarter over Quarter,0.0144
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),8.46
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2020-11-24 00:00:00
researchTeam since,2022-08-12 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
