,WASH
% Above Low,0.0658
% Held by Institutions,0.7206
52-Wk Range,['45.60 - 60.96']
Annual Dividend $,2.16
Annual Dividend %,0.0435
Ask,48.66
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,0.8
Bid,48.6
Bid Size,700.0
Closing Price,48.6
Day Change $,-1.08
Day Change %,-0.0217
Day High,49.47
Day Low,48.43
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.31
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.227
Last (size),726.0
Last (time),4:00p ET 11/28/22
Market Cap,835.0M
"P/E Ratio (TTM, GAAP)",11.52
Prev Close,49.68
Short Interest,0.0318
Today's Open,49.47
Volume,31007.0
Volume 10-day Avg,51771.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.0852713178294573
Growth 1yr High Est,0.08040201005025116
Growth 1yr Consensus Est,0.08283666393985423
Growth 2yr Low Est,0.020016611295680997
Growth 2yr High Est,0.08438705153675352
Growth 2yr Consensus Est,0.05220183141621726
Growth 5yr Low Est,0.0006799474388853033
Growth 5yr High Est,0.037872538114055776
Growth 5yr Consensus Est,0.01927624277647054
Growth 5yr Actual/Est,0.030118347912465565
Growth 3yr Historic,0.04072822822822825
Price/Earnings (TTM),11.52382
Price/Sales (TTM),3.85333
Price/Book (MRQ),1.97343
Price/Cash Flow (TTM),10.72619
5yr Low,25.86
5yr High,63.25
5yr Avg Return,-0.013999999999999997
EPS Growth 5yr,0.1025257
Revenue Growth 5yr,0.0343129
Dividend Growth 5yr,0.0798829
Short Int Current Month,538184.0
Short Int Prev Month,565390.0
Short Int Pct of Float,0.0317725
Days to Cover,11.29998
Float,16.98909
Shares Outstanding,17.1809
Institutions Holding Shares,206.0
FCF Growth 5yr,0.021181525241675676
"Price/Earnings (TTM, GAAP)",11.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.43270000000000003
Net Profit Margin (TTM),0.33990000000000004
Annual Dividend Yield,0.0435
Dividend Change %,0.0294
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.058300000000000005
EPS Growth (TTM),0.0026000000000000003
Revenue Growth (MRQ),0.24050000000000002
Revenue Growth (TTM),0.11570000000000001
Return On Equity (TTM),0.152
Return On Assets (TTM),0.0121
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
