,DZSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.06,Valuation,
Price/Sales (TTM),0.91,5.09,Valuation,0.1787819253438114
Price/Book (MRQ),3.09,4.51,Valuation,0.6851441241685144
"PEG Ratio (TTM, GAAP)",,2.07,Valuation,
Gross Profit Margin (TTM),0.32439999999999997,0.5751,Profitability,0.564075812902104
Operating Profit Margin (TTM),-0.04820000000000001,0.2231,Profitability,-0.2160466158673241
Net Profit Margin (TTM),-0.06730000000000001,0.1819,Profitability,-0.3699835074216603
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),-1.2685,-0.16579999999999998,Gowth rates,7.650784077201449
EPS Growth (TTM),0.5236,0.1262,Gowth rates,4.1489698890649755
Revenue Growth (MRQ),0.1791,0.1365,Gowth rates,1.312087912087912
Revenue Growth (TTM),0.09609999999999999,0.0862,Gowth rates,1.1148491879350346
Return On Equity (TTM),-0.2114,0.195,Effectiveness,-1.0841025641025641
Return On Assets (TTM),-0.0825,0.1241,Effectiveness,-0.6647864625302176
Return On Investment (TTM),-0.15,0.1684,Effectiveness,-0.8907363420427553
Revenue Per Employee (TTM),444735.0,688581.0,Effectiveness,0.645871727509182
Total Debt/Total Capital (MRQ),0.2215,0.36450000000000005,Financial strength,0.6076817558299039
Change in Debt/Total Capital Quarter over Quarter,,0.0002,Financial strength,
Quick Ratio (MRQ),1.0,1.51,Financial strength,0.6622516556291391
Interest Coverage (MRQ),-6.15,1.83,Financial strength,-3.360655737704918
