,DZSI
% Above Low,0.152
% Held by Institutions,0.3599
52-Wk Range,['10.59 - 19.95']
Annual Dividend $,
Annual Dividend %,
Ask,15.25
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,1.4
Bid,11.0
Bid Size,1000.0
Closing Price,12.2
Day Change $,0.06
Day Change %,0.0049
Day High,12.3
Day Low,12.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.91
Ex-dividend Date,No dividend
Historical Volatility,0.642
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,342.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,12.14
Short Interest,0.046900000000000004
Today's Open,12.14
Volume,55484.0
Volume 10-day Avg,287650.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,5.3999999999999995
Growth 2yr High Est,3.8421052631578947
Growth 2yr Consensus Est,4.621052631578947
Growth 5yr Low Est,5.3999999999999995
Growth 5yr High Est,3.8421052631578947
Growth 5yr Consensus Est,4.621052631578947
Growth 5yr Actual/Est,-6.319444444444445
Growth 3yr Historic,-7.275
Price/Earnings (TTM),
Price/Sales (TTM),0.91287
Price/Book (MRQ),3.08924
Price/Cash Flow (TTM),
5yr Low,2.9
5yr High,23.48
5yr Avg Return,0.1315166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1843242
Dividend Growth 5yr,
Short Int Current Month,796571.0
Short Int Prev Month,780826.0
Short Int Pct of Float,0.0469078
Days to Cover,7.65146
Float,18.67768
Shares Outstanding,27.95305
Institutions Holding Shares,98.0
FCF Growth 5yr,0.5119172753785435
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32439999999999997
Operating Profit Margin (TTM),-0.04820000000000001
Net Profit Margin (TTM),-0.06730000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.2685
EPS Growth (TTM),0.5236
Revenue Growth (MRQ),0.1791
Revenue Growth (TTM),0.09609999999999999
Return On Equity (TTM),-0.2114
Return On Assets (TTM),-0.0825
Return On Investment (TTM),-0.15
Revenue Per Employee (TTM),444735.0
Total Debt/Total Capital (MRQ),0.2215
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),-6.15
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-09 00:00:00
