,IPI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1.7,20.13,Valuation,0.08445106805762544
Price/Sales (TTM),1.45,3.27,Valuation,0.4434250764525994
Price/Book (MRQ),0.67,5.58,Valuation,0.12007168458781363
"PEG Ratio (TTM, GAAP)",,0.12,Valuation,
Gross Profit Margin (TTM),0.40149999999999997,0.3453,Profitability,1.1627570228786561
Operating Profit Margin (TTM),0.3045,0.0535,Profitability,5.691588785046729
Net Profit Margin (TTM),0.8523000000000001,0.0204,Profitability,41.779411764705884
Annual Dividend Yield,,0.0188,Dividend,
Dividend Change %,,0.102,Dividend,
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),-0.44170000000000004,-0.6111,Gowth rates,0.7227949599083621
EPS Growth (TTM),10.4092,1.725,Gowth rates,6.03431884057971
Revenue Growth (MRQ),-0.1852,0.212,Gowth rates,-0.8735849056603774
Revenue Growth (TTM),0.38780000000000003,0.23420000000000002,Gowth rates,1.6558497011101623
Return On Equity (TTM),0.5003,0.2206,Effectiveness,2.2679057116953762
Return On Assets (TTM),0.4328,0.06420000000000001,Effectiveness,6.741433021806853
Return On Investment (TTM),0.4767,0.08410000000000001,Effectiveness,5.668252080856123
Revenue Per Employee (TTM),778907.0,817013.0,Effectiveness,0.9533593712707141
Total Debt/Total Capital (MRQ),0.0,0.4105,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.001,Financial strength,
Quick Ratio (MRQ),2.06,1.18,Financial strength,1.745762711864407
Interest Coverage (MRQ),,26.2,Financial strength,
