,IPI
Price/Earnings (TTM),1.7009
Price/Sales (TTM),1.44564
Price/Book (MRQ),0.6653
Price/Cash Flow (TTM),1.51591
5yr Low,6.0
5yr High,121.72
5yr Avg Return,0.06055000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0497179
Dividend Growth 5yr,
Short Int Current Month,706459.0
Short Int Prev Month,579617.0
Short Int Pct of Float,0.08037430000000001
Days to Cover,1.70735
Float,9.19353
Shares Outstanding,13.48895
Institutions Holding Shares,191.0
% Held by Institutions,0.547735
FCF Growth 5yr,0.06785517109802457
