,IPI
% Above Low,0.1162
% Held by Institutions,0.5477000000000001
52-Wk Range,['32.91 - 121.72']
Annual Dividend $,
Annual Dividend %,
Ask,37.72
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.0
Bid,35.4
Bid Size,100.0
Closing Price,36.73
Day Change $,0.78
Day Change %,0.0217
Day High,37.19
Day Low,36.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.59
Ex-dividend Date,No dividend
Historical Volatility,0.846
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,494.6M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",1.7
Prev Close,35.95
Short Interest,0.08039999999999999
Today's Open,36.03
Volume,100084.0
Volume 10-day Avg,214951.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.44178628389154706
Growth 2yr High Est,-0.11010558069381593
Growth 2yr Consensus Est,-0.2759459322926815
Growth 5yr Low Est,-0.44178628389154706
Growth 5yr High Est,-0.11010558069381593
Growth 5yr Consensus Est,-0.2759459322926815
Growth 5yr Actual/Est,-0.49443967173806425
Growth 3yr Historic,-1.1615119760479042
Price/Earnings (TTM),1.7009
Price/Sales (TTM),1.44564
Price/Book (MRQ),0.6653
Price/Cash Flow (TTM),1.51591
5yr Low,6.0
5yr High,121.72
5yr Avg Return,0.06055000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0497179
Dividend Growth 5yr,
Short Int Current Month,706459.0
Short Int Prev Month,579617.0
Short Int Pct of Float,0.08037430000000001
Days to Cover,1.70735
Float,9.19353
Shares Outstanding,13.48895
Institutions Holding Shares,191.0
FCF Growth 5yr,0.06785517109802457
"Price/Earnings (TTM, GAAP)",1.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40149999999999997
Operating Profit Margin (TTM),0.3045
Net Profit Margin (TTM),0.8523000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.44170000000000004
EPS Growth (TTM),10.4092
Revenue Growth (MRQ),-0.1852
Revenue Growth (TTM),0.38780000000000003
Return On Equity (TTM),0.5003
Return On Assets (TTM),0.4328
Return On Investment (TTM),0.4767
Revenue Per Employee (TTM),778907.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.06
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-17 00:00:00
researchTeam since,2021-06-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
