,STEM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),8.12,12.92,Valuation,0.6284829721362228
Price/Book (MRQ),3.67,9.0,Valuation,0.4077777777777778
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.0727,0.2968,Profitability,0.24494609164420486
Operating Profit Margin (TTM),-0.49,-0.5081,Profitability,0.9643770911237945
Net Profit Margin (TTM),-0.4719,-0.706,Profitability,0.6684135977337111
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),-0.0687,0.5871000000000001,Gowth rates,-0.11701584057230453
EPS Growth (TTM),0.7356999999999999,-1.2397,Gowth rates,-0.5934500282326368
Revenue Growth (MRQ),0.4863,0.28940000000000005,Gowth rates,1.6803731859018658
Revenue Growth (TTM),2.4899,0.22710000000000002,Gowth rates,10.963892558344341
Return On Equity (TTM),-0.2034,0.10210000000000001,Effectiveness,-1.9921645445641525
Return On Assets (TTM),-0.10960000000000002,0.0479,Effectiveness,-2.2881002087682676
Return On Investment (TTM),-0.1278,0.0575,Effectiveness,-2.222608695652174
Revenue Per Employee (TTM),1222141.0,348568.0,Effectiveness,3.5061767000986896
Total Debt/Total Capital (MRQ),0.44670000000000004,0.3799,Financial strength,1.175835746249013
Change in Debt/Total Capital Quarter over Quarter,0.15960000000000002,0.0017000000000000001,Financial strength,93.88235294117648
Quick Ratio (MRQ),2.11,1.37,Financial strength,1.5401459854014596
Interest Coverage (MRQ),-12.78,9.61,Financial strength,-1.3298647242455774
