,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,26.43,51.49,19.75,,,,,
low,9.6,16.0,5.72,,,,,
change,1.046,-0.1081,-0.32689999999999997,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,748.0,175.0,151.0,100.0,Balance Sheet
Short Term Investments,,,,173.0,177.0,184.0,193.0,Balance Sheet
Cash and Short Term Invs,,,,921.0,352.0,335.0,294.0,Balance Sheet
"Total Receivables, Net",,,,62.0,74.0,96.0,144.0,Balance Sheet
Total Inventory,,,,23.0,73.0,63.0,29.0,Balance Sheet
"Other Curr. Assets, Total",,,,19.0,28.0,48.0,70.0,Balance Sheet
Total Current Assets,,,,1024.0,527.0,542.0,537.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,165.0,164.0,163.0,Balance Sheet
Accumulated Depreciation,,,,,-49.0,-52.0,-56.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,119.0,116.0,112.0,107.0,Balance Sheet
"Goodwill, Net",,,,2.0,548.0,547.0,547.0,Balance Sheet
Intangibles - Gross,,,,,186.0,191.0,197.0,Balance Sheet
Accum. Intangible Amort.,,,,,-21.0,-27.0,-33.0,Balance Sheet
Intangibles - Net,,,,14.0,166.0,165.0,164.0,Balance Sheet
Other Long Term Assets,,,,33.0,61.0,62.0,62.0,Balance Sheet
Total Assets,,,,1192.0,1418.0,1427.0,1417.0,Balance Sheet
Accounts Payable,,,,28.0,99.0,113.0,95.0,Balance Sheet
Accrued Expenses,,,,33.0,31.0,43.0,75.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,15.0,14.0,15.0,17.0,Balance Sheet
Customer Advances,,,,9.0,41.0,50.0,49.0,Balance Sheet
Other Current Liabilities,,,,2.0,3.0,4.0,4.0,Balance Sheet
"Other Curr. Lblts, Total",,,,11.0,43.0,54.0,54.0,Balance Sheet
Total Current Liabilities,,,,88.0,188.0,225.0,240.0,Balance Sheet
Total Long Term Debt,,,,318.0,448.0,449.0,449.0,Balance Sheet
Total Debt,,,,334.0,462.0,463.0,466.0,Balance Sheet
Minority Interest,,,,,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,118.0,152.0,149.0,151.0,Balance Sheet
Total Liabilities,,,,524.0,788.0,823.0,840.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,,,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1177.0,1161.0,1167.0,1176.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-509.0,-531.0,-563.0,-597.0,Balance Sheet
"Other Equity, Total",,,,0.0,-1.0,-1.0,-2.0,Balance Sheet
Total Equity,,,,668.0,630.0,603.0,577.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1192.0,1418.0,1427.0,1417.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,145.0,154.0,154.0,154.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,52780.0,41088.0,66947.0,99501.0,Income Statement
"Cost of Revenue, Total",,,,54427.0,37444.0,59159.0,90374.0,Income Statement
Selling/Gen/Admin Expense,,,,16733.0,24696.0,22743.0,25111.0,Income Statement
Labor & Related Expense,,,,4580.0,4958.0,5905.0,6089.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,21313.0,29654.0,28648.0,31200.0,Income Statement
Research & Development,,,,7221.0,8943.0,8963.0,10526.0,Income Statement
Unusual Expense (Income),,,,0.0,,0.0,0.0,Income Statement
Total Operating Expense,,,,82961.0,76041.0,96770.0,132100.0,Income Statement
Total Operating Income,,,,-30181.0,-34953.0,-29823.0,-32599.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-4560.0,-3218.0,-2691.0,-2520.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,0.0,0.0,0.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,687.0,475.0,484.0,863.0,Income Statement
"Other, Net",,,,687.0,475.0,484.0,863.0,Income Statement
Income Before Tax,,,,-34054.0,-37696.0,-32030.0,-34256.0,Income Statement
Income Tax - Total,,,,0.0,-15213.0,-7.0,19.0,Income Statement
Income After Tax,,,,-34054.0,-22483.0,-32023.0,-34275.0,Income Statement
Minority Interest,,,,,,4.0,-4.0,Income Statement
Net Inc Before Extra Items,,,,-34054.0,-22483.0,-32019.0,-34279.0,Income Statement
Total Net Income,,,,-34054.0,-22483.0,-32019.0,-34279.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-34054.0,-22483.0,-32019.0,-34279.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-34054.0,-22483.0,-32019.0,-34279.0,Income Statement
Basic/Primary Weighted Average Shares,,,,144935.0,150491.0,154125.0,154393.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.23,-0.15,-0.21,-0.22,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.23,-0.15,-0.21,-0.22,Income Statement
Diluted Weighted Average Shares,,,,144935.0,150491.0,154125.0,154393.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.23,-0.15,-0.21,-0.22,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.23,-0.15,-0.21,-0.22,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,4560.0,3218.0,2691.0,2520.0,Income Statement
"Depreciat/Amort, Suppl",,,,7353.0,4325.0,5962.0,4673.0,Income Statement
Total Special Items,,,,2600.0,7268.0,-127.0,400.0,Income Statement
Normalzd Income Before Tax,,,,-31454.0,-30428.0,-32157.0,-33856.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,2544.0,-44.0,140.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,0.0,-12669.0,-51.0,159.0,Income Statement
Normalized Income After Tax,,,,-31454.0,-17759.0,-32106.0,-34015.0,Income Statement
Normalzd Inc Avail to Common,,,,-31454.0,-17759.0,-32102.0,-34019.0,Income Statement
Basic Normalized EPS,,,,-0.22,-0.12,-0.21,-0.22,Income Statement
Diluted Normalized EPS,,,,-0.22,-0.12,-0.21,-0.22,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-101.0,-22.0,-55.0,-89.0,Cash Flow
Depreciation/Depletion,,,,24.0,9.0,21.0,32.0,Cash Flow
Unusual Items,,,,10.0,0.0,1.0,1.0,Cash Flow
Other Non-Cash Items,,,,25.0,8.0,16.0,26.0,Cash Flow
Non-Cash Items,,,,35.0,8.0,17.0,27.0,Cash Flow
"Cash Interest Pd, Suppl",,,,10.0,2.0,3.0,5.0,Cash Flow
Accounts Receivable,,,,-48.0,-3.0,-26.0,-75.0,Cash Flow
Inventories,,,,-2.0,-47.0,-37.0,-2.0,Cash Flow
Other Assets,,,,-25.0,-32.0,-52.0,-73.0,Cash Flow
Accounts Payable,,,,,,,63.0,Cash Flow
Accrued Expenses,,,,0.0,,,38.0,Cash Flow
Payable/Accrued,,,,33.0,62.0,90.0,,Cash Flow
Changes in Working Capital,,,,-60.0,-20.0,-16.0,-39.0,Cash Flow
Total Cash from Operations,,,,-101.0,-26.0,-33.0,-69.0,Cash Flow
Capital Expenditures,,,,-10.0,-5.0,-11.0,-18.0,Cash Flow
Acquisition of Business,,,,,-533.0,-533.0,-533.0,Cash Flow
Sale of Fixed Assets,,,,,,,1.0,Cash Flow
Sale/Maturity of Investment,,,,16.0,36.0,87.0,159.0,Cash Flow
Purchase of Investments,,,,-191.0,-41.0,-99.0,-182.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-175.0,-538.0,-545.0,-554.0,Cash Flow
Total Cash from Investing,,,,-185.0,-543.0,-556.0,-572.0,Cash Flow
Financing Cash Flow Items,,,,538.0,-1.0,-2.0,-2.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,82.0,0.0,1.0,1.0,Cash Flow
Short Term Debt Issued,,,,4.0,0.0,0.0,0.0,Cash Flow
Short Term Debt Reduction,,,,-41.0,0.0,0.0,0.0,Cash Flow
"Short Term Debt, Net",,,,-38.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Issued,,,,455.0,0.0,0.0,2.0,Cash Flow
Long Term Debt Reduction,,,,-10.0,-4.0,-7.0,-8.0,Cash Flow
"Long Term Debt, Net",,,,445.0,-4.0,-7.0,-6.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,408.0,-4.0,-7.0,-6.0,Cash Flow
Total Cash From Financing,,,,1027.0,-4.0,-8.0,-7.0,Cash Flow
Foreign Exchange Effects,,,,0.0,0.0,0.0,0.0,Cash Flow
Net Change in Cash,,,,741.0,-573.0,-597.0,-648.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,7.0,748.0,748.0,748.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,748.0,175.0,151.0,100.0,Cash Flow
"Depreciation, Supplemental",,,,24.0,9.0,21.0,32.0,Cash Flow
Free Cash Flow,,,,-111.0,-31.0,-44.0,-87.0,
FCF Growth,,,,,-0.7207207207207207,0.4193548387096775,0.9772727272727273,
