,DLTR
% Below High,0.1459
% Held by Institutions,0.9476
52-Wk Range,['123.62 - 177.19']
Annual Dividend $,
Annual Dividend %,
Ask,151.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,151.02
Bid Size,100.0
Closing Price,151.33
Day Change $,1.19
Day Change %,0.0079
Day High,151.78
Day Low,148.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.15
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,33.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,150.14
Short Interest,0.029300000000000003
Today's Open,150.75
Volume,1553183.0
Volume 10-day Avg,2870549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.287020109689214
Growth 1yr High Est,0.11791044776119408
Growth 1yr Consensus Est,0.20246527872520403
Growth 2yr Low Est,0.1499021002991524
Growth 2yr High Est,0.14840782735189206
Growth 2yr Consensus Est,0.14915496382552224
Growth 5yr Low Est,0.11700272462581512
Growth 5yr High Est,0.16756772979062723
Growth 5yr Consensus Est,0.14228522720822118
Growth 5yr Actual/Est,0.14150347098456922
Growth 3yr Historic,0.05338086562058453
Price/Earnings (TTM),21.17543
Price/Sales (TTM),1.20874
Price/Book (MRQ),4.04507
Price/Cash Flow (TTM),14.07859
5yr Low,60.2
5yr High,177.19
5yr Avg Return,0.08298333333333334
EPS Growth 5yr,0.08908379999999999
Revenue Growth 5yr,0.0490267
Dividend Growth 5yr,
Short Int Current Month,6388083.0
Short Int Prev Month,6911391.0
Short Int Pct of Float,0.0292788
Days to Cover,3.29947
Float,218.2798
Shares Outstanding,221.1845
Institutions Holding Shares,1105.0
FCF Growth 5yr,4.549842904495725
"Price/Earnings (TTM, GAAP)",21.18
"PEG Ratio (TTM, GAAP)",1.02
Gross Profit Margin (TTM),0.31370000000000003
Operating Profit Margin (TTM),0.0793
Net Profit Margin (TTM),0.0584
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2518
EPS Growth (TTM),0.20629999999999998
Revenue Growth (MRQ),0.0253
Revenue Growth (TTM),0.0647
Return On Equity (TTM),0.2084
Return On Assets (TTM),0.073
Return On Investment (TTM),0.0916
Revenue Per Employee (TTM),447462.0
Total Debt/Total Capital (MRQ),0.313
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.17
Interest Coverage (MRQ),11.66
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-26 00:00:00
cfra since,2022-11-22 00:00:00
ford since,2022-08-26 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-01 00:00:00
