,LBRDK
% Above Low,0.2601
% Held by Institutions,
52-Wk Range,['71.70 - 164.82']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,90.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.355
Last (size),3900.0
Last (time),1:00p ET 11/25/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,90.35
Short Interest,
Today's Open,
Volume,586615.0
Volume 10-day Avg,1383134.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1466227347611202
Growth 2yr High Est,0.11622807017543857
Growth 2yr Consensus Est,0.13142540246827938
Growth 5yr Low Est,0.1466227347611202
Growth 5yr High Est,0.11622807017543857
Growth 5yr Consensus Est,0.13142540246827938
Growth 5yr Actual/Est,1.063070874478652
Growth 3yr Historic,0.8004212269585254
5yr Low,68.33
5yr High,194.05
5yr Avg Return,0.07278333333333335
EPS Growth 5yr,
Revenue Growth 5yr,1.003765
Dividend Growth 5yr,
FCF Growth 5yr,-0.4257436167412476
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,
theStreet since,
newConstructs since,2022-11-26 00:00:00
ford since,
cfra since,
marketEdge opinion since,
