,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,65.13,107.44,102.47,121.75,153.73,133.14,,,,,
low,59.4,60.45,62.05,43.9,105.49,96.55,,,,,
change,-0.0651,0.36100000000000004,-0.0741,0.5857,0.009000000000000001,0.0209,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,296.0,307.0,322.0,272.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,479.0,511.0,474.0,637.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,0.0,-1.0,-1.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,479.0,510.0,473.0,637.0,Balance Sheet
Prepaid Expenses,,,,,,,89.0,89.0,92.0,89.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,145.0,61.0,61.0,71.0,Balance Sheet
Total Current Assets,,,,,,,1009.0,967.0,948.0,1069.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,247.0,243.0,234.0,236.0,Balance Sheet
"Goodwill, Net",,,,,,,2190.0,2186.0,2383.0,2354.0,Balance Sheet
Intangibles - Gross,,,,,,,1110.0,1112.0,1162.0,1152.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-746.0,-757.0,-764.0,-769.0,Balance Sheet
Intangibles - Net,,,,,,,364.0,355.0,399.0,383.0,Balance Sheet
Other Long Term Assets,,,,,,,318.0,328.0,359.0,390.0,Balance Sheet
Total Assets,,,,,,,4421.0,4379.0,4606.0,4687.0,Balance Sheet
Accounts Payable,,,,,,,33.0,24.0,16.0,40.0,Balance Sheet
Accrued Expenses,,,,,,,279.0,227.0,256.0,243.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,465.0,517.0,481.0,504.0,Balance Sheet
Income Taxes Payable,,,,,,,3.0,15.0,16.0,5.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,468.0,532.0,497.0,509.0,Balance Sheet
Total Current Liabilities,,,,,,,780.0,782.0,770.0,792.0,Balance Sheet
Total Long Term Debt,,,,,,,1440.0,1266.0,1425.0,1351.0,Balance Sheet
Total Debt,,,,,,,1440.0,1266.0,1425.0,1351.0,Balance Sheet
Deferred Income Tax,,,,,,,4.0,4.0,24.0,28.0,Balance Sheet
"Other Liabilities, Total",,,,,,,243.0,242.0,229.0,220.0,Balance Sheet
Total Liabilities,,,,,,,2467.0,2295.0,2448.0,2391.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1590.0,1638.0,1669.0,1721.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,461.0,550.0,621.0,728.0,Balance Sheet
"Other Equity, Total",,,,,,,-98.0,-105.0,-134.0,-153.0,Balance Sheet
Total Equity,,,,,,,1954.0,2084.0,2157.0,2296.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4421.0,4379.0,4606.0,4687.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,117.0,117.0,117.0,117.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,458.0,505.0,462.0,508.0,Income Statement
"Cost of Revenue, Total",,,,,,,95.0,93.0,102.0,96.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,147.0,136.0,143.0,142.0,Income Statement
Labor & Related Expense,,,,,,,30.0,24.0,30.0,26.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,176.0,160.0,173.0,168.0,Income Statement
Research & Development,,,,,,,81.0,82.0,88.0,88.0,Income Statement
Depreciation/Amortization,,,,,,,8.0,8.0,9.0,9.0,Income Statement
Restructuring Charge,,,,,,,34.0,-2.0,4.0,-1.0,Income Statement
Other Unusual Expnse (In),,,,,,,1.0,4.0,6.0,2.0,Income Statement
Unusual Expense (Income),,,,,,,35.0,2.0,11.0,1.0,Income Statement
Total Operating Expense,,,,,,,396.0,346.0,382.0,362.0,Income Statement
Total Operating Income,,,,,,,62.0,159.0,80.0,146.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-13.0,-12.0,-14.0,-15.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,1.0,1.0,1.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,6.0,-44.0,34.0,6.0,Income Statement
"Other, Net",,,,,,,6.0,-44.0,34.0,6.0,Income Statement
Income Before Tax,,,,,,,55.0,104.0,101.0,137.0,Income Statement
Income Tax - Total,,,,,,,9.0,14.0,30.0,31.0,Income Statement
Income After Tax,,,,,,,46.0,90.0,70.0,107.0,Income Statement
Net Inc Before Extra Items,,,,,,,46.0,90.0,70.0,107.0,Income Statement
Total Net Income,,,,,,,46.0,90.0,70.0,107.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,46.0,90.0,70.0,107.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,46.0,90.0,70.0,107.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,117.0,117.0,117.0,117.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.39,0.77,0.6,0.91,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.39,0.77,0.6,0.91,Income Statement
Diluted Weighted Average Shares,,,,,,,119.0,118.0,118.0,119.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.39,0.76,0.6,0.9,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.39,0.76,0.6,0.9,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
