,PTC
% Below High,0.0704
% Held by Institutions,0.8992
52-Wk Range,['96.55 - 133.14']
Annual Dividend $,
Annual Dividend %,
Ask,123.81
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,123.7
Bid Size,200.0
Day Change $,-0.865
Day Change %,-0.0069
Day High,124.77
Day Low,123.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.65
Ex-dividend Date,No dividend
Historical Volatility,0.39299999999999996
Last (size),100.0
Last (time),11:44a ET 11/28/22
Market Cap,14.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.07
Prev Close,124.63
Price,123.77
Short Interest,0.0199
Today's Open,124.09
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.10478359908883816
Growth 2yr High Est,0.29554655870445345
Growth 2yr Consensus Est,0.2001650788966458
Growth 5yr Low Est,0.10478359908883816
Growth 5yr High Est,0.29554655870445345
Growth 5yr Consensus Est,0.2001650788966458
Growth 5yr Actual/Est,0.21562950947776377
Growth 3yr Historic,0.17459986866479138
Price/Earnings (TTM),47.06998
Price/Sales (TTM),7.57264
Price/Book (MRQ),6.37645
Price/Cash Flow (TTM),36.53055
5yr Low,43.9
5yr High,153.73
5yr Avg Return,0.1395666666666667
EPS Growth 5yr,1.185076
Revenue Growth 5yr,0.1067982
Dividend Growth 5yr,
Short Int Current Month,2098499.0
Short Int Prev Month,2098189.0
Short Int Pct of Float,0.0199367
Days to Cover,1.68598
Float,105.2508
Shares Outstanding,117.472
Institutions Holding Shares,729.0
FCF Growth 5yr,0.5007442108613961
"Price/Earnings (TTM, GAAP)",47.07
"PEG Ratio (TTM, GAAP)",4.42
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5073
EPS Growth (TTM),-0.3411
Revenue Growth (MRQ),0.0983
Revenue Growth (TTM),0.0698
Return On Equity (TTM),0.1445
Return On Assets (TTM),0.0681
Return On Investment (TTM),0.0821
Revenue Per Employee (TTM),297301.0
Total Debt/Total Capital (MRQ),0.3704
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-19 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
