,PTC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",47.07,54.08,Valuation,0.8703772189349113
Price/Sales (TTM),7.57,9.39,Valuation,0.8061767838125665
Price/Book (MRQ),6.38,12.63,Valuation,0.5051464766429137
"PEG Ratio (TTM, GAAP)",4.42,1.92,Valuation,2.3020833333333335
"Price/Earnings (TTM, GAAP)",47.07,54.08,Profitability,0.8703772189349113
Price/Sales (TTM),7.57,9.39,Profitability,0.8061767838125665
Price/Book (MRQ),6.38,12.63,Profitability,0.5051464766429137
"PEG Ratio (TTM, GAAP)",4.42,1.92,Profitability,2.3020833333333335
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5073,-0.0752,Gowth rates,-6.7460106382978715
EPS Growth (TTM),-0.3411,-0.2824,Gowth rates,1.2078611898016998
Revenue Growth (MRQ),0.0983,0.15560000000000002,Gowth rates,0.6317480719794344
Revenue Growth (TTM),0.0698,0.1906,Gowth rates,0.36621196222455404
Return On Equity (TTM),0.1445,0.2189,Effectiveness,0.6601187756966651
Return On Assets (TTM),0.0681,0.10740000000000001,Effectiveness,0.6340782122905027
Return On Investment (TTM),0.0821,0.1387,Effectiveness,0.5919250180245135
Revenue Per Employee (TTM),297301.0,667721.0,Effectiveness,0.4452473413296871
Total Debt/Total Capital (MRQ),0.3704,0.39659999999999995,Financial strength,0.9339384770549674
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0004,Financial strength,-2.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),10.24,0.28,Financial strength,36.57142857142857
