,UNF
% Below High,0.1124
% Held by Institutions,0.9601999999999999
52-Wk Range,['154.72 - 214.66']
Annual Dividend $,1.24
Annual Dividend %,0.006500000000000001
Ask,304.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,76.13
Bid Size,100.0
Closing Price,190.53
Day Change $,-1.53
Day Change %,-0.008
Day High,193.56
Day Low,189.75
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.46
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.27
Last (size),39.0
Last (time),7:00p ET 11/28/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.17
Prev Close,192.06
Short Interest,0.0148
Today's Open,191.32
Volume,60703.0
Volume 10-day Avg,66842.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.061285500747384036
Growth 1yr High Est,0.07385524372230434
Growth 1yr Consensus Est,0.06757037223484419
Growth 2yr Low Est,0.08416387713425544
Growth 2yr High Est,0.10020134950902015
Growth 2yr Consensus Est,0.0921826133216378
Growth 5yr Low Est,0.04661299792937146
Growth 5yr High Est,0.03394490795854002
Growth 5yr Consensus Est,0.04027895294395574
Growth 5yr Actual/Est,0.03663227833574828
Growth 3yr Historic,-0.007178223068525891
Price/Earnings (TTM),35.17144
Price/Sales (TTM),1.79195
Price/Book (MRQ),1.87118
Price/Cash Flow (TTM),16.89767
5yr Low,121.89
5yr High,258.86
5yr Avg Return,0.04026666666666667
EPS Growth 5yr,0.09658670000000001
Revenue Growth 5yr,0.0469114
Dividend Growth 5yr,0.5028697
Short Int Current Month,220877.0
Short Int Prev Month,203303.0
Short Int Pct of Float,0.0148336
Days to Cover,3.14281
Float,14.89786
Shares Outstanding,18.66794
Institutions Holding Shares,315.0
FCF Growth 5yr,0.2607581865478044
"Price/Earnings (TTM, GAAP)",35.17
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34700000000000003
Operating Profit Margin (TTM),0.06820000000000001
Net Profit Margin (TTM),0.0517
Annual Dividend Yield,0.006500000000000001
Dividend Change %,0.15
"Dividend Growth Rate, 3 Years",0.36719999999999997
EPS Growth (MRQ),0.0454
EPS Growth (TTM),-0.3122
Revenue Growth (MRQ),0.0095
Revenue Growth (TTM),0.0956
Return On Equity (TTM),0.0546
Return On Assets (TTM),0.043
Return On Investment (TTM),0.048
Revenue Per Employee (TTM),142916.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.74
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
