,UNF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.17,49.52,Valuation,0.7102180936995154
Price/Sales (TTM),1.79,4.95,Valuation,0.3616161616161616
Price/Book (MRQ),1.87,8.39,Valuation,0.22288438617401668
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.34700000000000003,0.3995,Profitability,0.8685857321652065
Operating Profit Margin (TTM),0.06820000000000001,-0.031400000000000004,Profitability,-2.171974522292994
Net Profit Margin (TTM),0.0517,-0.042300000000000004,Profitability,-1.222222222222222
Annual Dividend Yield,0.006500000000000001,0.011000000000000001,Dividend,0.5909090909090909
Dividend Change %,0.15,0.0031,Dividend,48.38709677419355
"Dividend Growth Rate, 3 Years",0.36719999999999997,0.076,Dividend,4.8315789473684205
EPS Growth (MRQ),0.0454,0.2798,Gowth rates,0.16225875625446748
EPS Growth (TTM),-0.3122,0.017,Gowth rates,-18.36470588235294
Revenue Growth (MRQ),0.0095,6.526000000000001,Gowth rates,0.0014557155991418939
Revenue Growth (TTM),0.0956,0.4152,Gowth rates,0.23025048169556842
Return On Equity (TTM),0.0546,0.24,Effectiveness,0.2275
Return On Assets (TTM),0.043,0.08750000000000001,Effectiveness,0.4914285714285713
Return On Investment (TTM),0.048,0.11080000000000001,Effectiveness,0.4332129963898917
Revenue Per Employee (TTM),142916.0,300327.0,Effectiveness,0.47586797057873587
Total Debt/Total Capital (MRQ),0.0,0.4451,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0070999999999999995,Financial strength,
Quick Ratio (MRQ),3.74,1.37,Financial strength,2.72992700729927
Interest Coverage (MRQ),,18.65,Financial strength,
