,PJT
% Below High,0.051699999999999996
% Held by Institutions,0.6905
52-Wk Range,['54.48 - 80.33']
Annual Dividend $,1.0
Annual Dividend %,0.0128
Ask,76.32
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,75.95
Bid Size,200.0
Day Change $,-1.9
Day Change %,-0.024300000000000002
Day High,77.01
Day Low,77.27
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",3.83
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.318
Last (size),2.0
Last (time),10:53a ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.39
Prev Close,78.08
Price,76.18
Short Interest,0.0387
Today's Open,78.06
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.14348785871964687
Growth 1yr High Est,-0.14889336016096566
Growth 1yr Consensus Est,-0.14619060944030626
Growth 2yr Low Est,0.008152977856671462
Growth 2yr High Est,0.046120695806041945
Growth 2yr Consensus Est,0.027136836831356703
Growth 5yr Low Est,0.008152977856671462
Growth 5yr High Est,0.046120695806041945
Growth 5yr Consensus Est,0.027136836831356703
Growth 5yr Actual/Est,0.26776323616421077
Growth 3yr Historic,0.23656291819918696
Price/Earnings (TTM),20.39233
Price/Sales (TTM),2.94864
Price/Book (MRQ),12.8685
Price/Cash Flow (TTM),15.66976
5yr Low,23.63
5yr High,89.5
5yr Avg Return,0.12901666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.1471035
Dividend Growth 5yr,0.0
Short Int Current Month,870574.0
Short Int Prev Month,1139925.0
Short Int Pct of Float,0.0387157
Days to Cover,4.89659
Float,37.98642
Shares Outstanding,39.98558
Institutions Holding Shares,282.0
FCF Growth 5yr,-1.2240030793007595
"Price/Earnings (TTM, GAAP)",20.39
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.23600000000000002
Net Profit Margin (TTM),0.1727
Annual Dividend Yield,0.0128
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.1036
EPS Growth (TTM),-0.030600000000000002
Revenue Growth (MRQ),0.1413
Revenue Growth (TTM),0.0581
Return On Equity (TTM),0.892
Return On Assets (TTM),0.1705
Return On Investment (TTM),1.1852
Revenue Per Employee (TTM),1271090.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2020-08-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
