,CATY
% Below High,0.058899999999999994
% Held by Institutions,0.6981
52-Wk Range,['37.37 - 48.88']
Annual Dividend $,1.36
Annual Dividend %,0.0296
Ask,46.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,45.63
Bid Size,100.0
Closing Price,46.0
Day Change $,0.54
Day Change %,0.011899999999999999
Day High,46.11
Day Low,45.43
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.5
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.297
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.22
Prev Close,45.46
Short Interest,0.018600000000000002
Today's Open,45.43
Volume,104036.0
Volume 10-day Avg,309975.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.30894308943089444
Growth 1yr High Est,0.3015873015873016
Growth 1yr Consensus Est,0.30526519550909803
Growth 2yr Low Est,0.15654193809018835
Growth 2yr High Est,0.24022454510259394
Growth 2yr Consensus Est,0.19838324159639115
Growth 5yr Low Est,0.11558980962480428
Growth 5yr High Est,0.1587616978386533
Growth 5yr Consensus Est,0.1371757537317288
Growth 5yr Actual/Est,0.13704444515982198
Growth 3yr Historic,0.03805969402058554
Price/Earnings (TTM),10.22
Price/Sales (TTM),4.55272
Price/Book (MRQ),1.39569
Price/Cash Flow (TTM),9.84601
5yr Low,17.58
5yr High,48.88
5yr Avg Return,0.026983333333333328
EPS Growth 5yr,0.11625719999999999
Revenue Growth 5yr,0.0595688
Dividend Growth 5yr,0.1110881
Short Int Current Month,1310671.0
Short Int Prev Month,1386680.0
Short Int Pct of Float,0.0186108
Days to Cover,4.28338
Float,70.37138
Shares Outstanding,74.41379
Institutions Holding Shares,325.0
FCF Growth 5yr,0.4711250088119481
"Price/Earnings (TTM, GAAP)",10.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.585
Net Profit Margin (TTM),0.45
Annual Dividend Yield,0.0296
Dividend Change %,0.0242
"Dividend Growth Rate, 3 Years",0.0723
EPS Growth (MRQ),0.14070000000000002
EPS Growth (TTM),0.2146
Revenue Growth (MRQ),0.1925
Revenue Growth (TTM),0.138
Return On Equity (TTM),0.1386
Return On Assets (TTM),0.016200000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-20 00:00:00
