,DBD
% Above Low,0.19899999999999998
% Held by Institutions,0.7617
52-Wk Range,['1.91 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,2.43
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,2.9
Bid,2.13
Bid Size,100.0
Closing Price,2.29
Day Change $,0.06
Day Change %,0.0269
Day High,2.31
Day Low,2.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.96
Ex-dividend Date,No dividend
Historical Volatility,1.0370000000000001
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,181.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.23
Short Interest,0.1448
Today's Open,2.24
Volume,525842.0
Volume 10-day Avg,1295037.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.019230769230769
Growth 2yr High Est,-3.0229885057471266
Growth 2yr Consensus Est,-2.521109637488948
Growth 5yr Low Est,-2.019230769230769
Growth 5yr High Est,-3.0229885057471266
Growth 5yr Consensus Est,-2.521109637488948
Growth 5yr Actual/Est,-2.8192593864468867
Growth 3yr Historic,-1.6364468864468864
Price/Earnings (TTM),
Price/Sales (TTM),0.05099
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.91
5yr High,20.4
5yr Avg Return,0.23554999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.0332321
Dividend Growth 5yr,
Short Int Current Month,10278860.0
Short Int Prev Month,10301733.0
Short Int Pct of Float,0.1448458
Days to Cover,6.08955
Float,71.40678
Shares Outstanding,79.07806
Institutions Holding Shares,228.0
FCF Growth 5yr,-0.7640912602193316
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23070000000000002
Operating Profit Margin (TTM),-0.0338
Net Profit Margin (TTM),-0.1325
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7503000000000001
EPS Growth (TTM),-4.077
Revenue Growth (MRQ),-0.048499999999999995
Revenue Growth (TTM),-0.1012
Return On Equity (TTM),
Return On Assets (TTM),-0.1449
Return On Investment (TTM),-0.9288
Revenue Per Employee (TTM),161432.0
Total Debt/Total Capital (MRQ),2.1787
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),0.26
Interest Coverage (MRQ),0.59
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-07-06 00:00:00
cfra since,2015-08-03 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2018-07-06 00:00:00
