,DBD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),0.05,5.73,Valuation,0.008726003490401396
Price/Book (MRQ),,44.1,Valuation,
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.23070000000000002,0.4263,Profitability,0.5411681914144969
Operating Profit Margin (TTM),-0.0338,0.2867,Profitability,-0.11789326822462502
Net Profit Margin (TTM),-0.1325,0.23690000000000003,Profitability,-0.5593077247783874
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),0.7503000000000001,0.0139,Gowth rates,53.97841726618706
EPS Growth (TTM),-4.077,0.0891,Gowth rates,-45.75757575757576
Revenue Growth (MRQ),-0.048499999999999995,0.0784,Gowth rates,-0.6186224489795917
Revenue Growth (TTM),-0.1012,0.0893,Gowth rates,-1.133258678611422
Return On Equity (TTM),,1.7101,Effectiveness,
Return On Assets (TTM),-0.1449,0.27030000000000004,Effectiveness,-0.5360710321864595
Return On Investment (TTM),-0.9288,0.45,Effectiveness,-2.064
Revenue Per Employee (TTM),161432.0,2289443.0,Effectiveness,0.07051147375147579
Total Debt/Total Capital (MRQ),2.1787,0.7151000000000001,Financial strength,3.046706754300098
Change in Debt/Total Capital Quarter over Quarter,0.002,-0.0004,Financial strength,-5.0
Quick Ratio (MRQ),0.26,0.84,Financial strength,0.30952380952380953
Interest Coverage (MRQ),0.59,317.99,Financial strength,0.0018554042579955344
