,FULT
% Below High,0.023
% Held by Institutions,0.6606000000000001
52-Wk Range,['13.72 - 19.17']
Annual Dividend $,0.6
Annual Dividend %,0.032
Ask,19.01
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,13.36
Bid Size,200.0
Closing Price,18.73
Day Change $,0.28
Day Change %,0.0152
Day High,18.75
Day Low,18.47
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.267
Last (size),77.0
Last (time),1:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.95
Prev Close,18.45
Short Interest,0.0256
Today's Open,18.53
Volume,383095.0
Volume 10-day Avg,784921.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.025157232704402288
Growth 1yr High Est,0.04216867469879526
Growth 1yr Consensus Est,0.033662953701598775
Growth 2yr Low Est,0.09233321757919499
Growth 2yr High Est,0.11935023330315486
Growth 2yr Consensus Est,0.10584172544117493
Growth 5yr Low Est,0.11932572855261064
Growth 5yr High Est,0.12300947060136314
Growth 5yr Consensus Est,0.12116759957698689
Growth 5yr Actual/Est,0.12200149780332115
Growth 3yr Historic,0.07155941913136155
Price/Earnings (TTM),11.9495
Price/Sales (TTM),3.27462
Price/Book (MRQ),1.37621
Price/Cash Flow (TTM),10.86439
5yr Low,8.89
5yr High,19.55
5yr Avg Return,0.023399999999999997
EPS Growth 5yr,0.1187609
Revenue Growth 5yr,0.037049
Dividend Growth 5yr,0.0767523
Short Int Current Month,4242592.0
Short Int Prev Month,5122512.0
Short Int Pct of Float,0.025575800000000003
Days to Cover,5.28144
Float,165.9851
Shares Outstanding,167.4944
Institutions Holding Shares,347.0
FCF Growth 5yr,-8.763479600991891
"Price/Earnings (TTM, GAAP)",11.95
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3447
Net Profit Margin (TTM),0.2787
Annual Dividend Yield,0.032
Dividend Change %,0.057699999999999994
"Dividend Growth Rate, 3 Years",0.0538
EPS Growth (MRQ),-0.027200000000000002
EPS Growth (TTM),0.006999999999999999
Revenue Growth (MRQ),0.228
Revenue Growth (TTM),0.0622
Return On Equity (TTM),0.1073
Return On Assets (TTM),0.0102
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-11 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
