,EHC
% Below High,0.037200000000000004
% Held by Institutions,0.9839
52-Wk Range,['42.16 - 59.33']
Annual Dividend $,0.6
Annual Dividend %,0.0105
Ask,59.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,22.94
Bid Size,200.0
Closing Price,57.12
Day Change $,0.65
Day Change %,0.0115
Day High,57.56
Day Low,56.56
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",2.91
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.9500000000000001
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.66
Prev Close,56.47
Short Interest,0.0285
Today's Open,56.89
Volume,283691.0
Volume 10-day Avg,552470.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.35597189695550346
Growth 1yr High Est,-0.3517241379310345
Growth 1yr Consensus Est,-0.353848017443269
Growth 2yr Low Est,-0.1434404939322972
Growth 2yr High Est,-0.04288334556126194
Growth 2yr Consensus Est,-0.09316191974677956
Growth 5yr Low Est,-0.005531786116500681
Growth 5yr High Est,0.004628532698821047
Growth 5yr Consensus Est,-0.0004516267088398168
Growth 5yr Actual/Est,0.007268351236126125
Growth 3yr Historic,0.0506995637129532
Price/Earnings (TTM),19.65555
Price/Sales (TTM),1.12373
Price/Book (MRQ),4.68358
Price/Cash Flow (TTM),8.83024
5yr Low,44.33
5yr High,89.68
5yr Avg Return,0.033233333333333344
EPS Growth 5yr,0.10597870000000001
Revenue Growth 5yr,0.0703302
Dividend Growth 5yr,0.035662
Short Int Current Month,2780552.0
Short Int Prev Month,2448538.0
Short Int Pct of Float,0.0284986
Days to Cover,3.27849
Float,97.75356
Shares Outstanding,99.78847
Institutions Holding Shares,483.0
FCF Growth 5yr,0.16532718858046372
"Price/Earnings (TTM, GAAP)",19.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9578
Operating Profit Margin (TTM),0.13269999999999998
Net Profit Margin (TTM),0.07540000000000001
Annual Dividend Yield,0.0105
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.025
EPS Growth (MRQ),0.3095
EPS Growth (TTM),-0.23850000000000002
Revenue Growth (MRQ),-0.1811
Revenue Growth (TTM),0.0694
Return On Equity (TTM),0.18989999999999999
Return On Assets (TTM),0.06269999999999999
Return On Investment (TTM),0.0779
Revenue Per Employee (TTM),181154.0
Total Debt/Total Capital (MRQ),0.611
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.93
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-03-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-29 00:00:00
