,EHC
Price/Earnings (TTM),19.65555
Price/Sales (TTM),1.12373
Price/Book (MRQ),4.68358
Price/Cash Flow (TTM),8.83024
5yr Low,44.33
5yr High,89.68
5yr Avg Return,0.033233333333333344
EPS Growth 5yr,0.10597870000000001
Revenue Growth 5yr,0.0703302
Dividend Growth 5yr,0.035662
Short Int Current Month,2780552.0
Short Int Prev Month,2448538.0
Short Int Pct of Float,0.0284986
Days to Cover,3.27849
Float,97.75356
Shares Outstanding,99.78847
Institutions Holding Shares,483.0
% Held by Institutions,0.9839289999999999
FCF Growth 5yr,0.16532718858046372
