,HLTH
% Above Low,0.028900000000000002
% Held by Institutions,0.545
52-Wk Range,['2.42 - 16.20']
Annual Dividend $,
Annual Dividend %,
Ask,2.54
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.41
Bid Size,100.0
Closing Price,2.49
Day Change $,-0.09
Day Change %,-0.0349
Day High,2.56
Day Low,2.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.29
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,372.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.58
Short Interest,0.024399999999999998
Today's Open,2.56
Volume,126518.0
Volume 10-day Avg,347089.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.21341463414634143
Growth 2yr High Est,-0.02919708029197088
Growth 2yr Consensus Est,0.09210877692718528
Growth 5yr Low Est,0.21341463414634143
Growth 5yr High Est,-0.02919708029197088
Growth 5yr Consensus Est,0.09210877692718528
Growth 5yr Actual/Est,-1.764341590612777
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.54455
Price/Book (MRQ),0.57483
Price/Cash Flow (TTM),
5yr Low,2.47
5yr High,22.55
5yr Avg Return,-0.5114
Short Int Current Month,3090221.0
Short Int Prev Month,4175584.0
Short Int Pct of Float,0.024378700000000003
Days to Cover,7.9862
Float,126.8855
Shares Outstanding,149.4324
Institutions Holding Shares,117.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4439
Operating Profit Margin (TTM),0.0163
Net Profit Margin (TTM),-0.062400000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-36.325100000000006
EPS Growth (TTM),
Revenue Growth (MRQ),-0.5112
Revenue Growth (TTM),
Return On Equity (TTM),-0.1474
Return On Assets (TTM),-0.0552
Return On Investment (TTM),-0.0725
Revenue Per Employee (TTM),431101.0
Total Debt/Total Capital (MRQ),0.0070999999999999995
Change in Debt/Total Capital Quarter over Quarter,-0.0099
Quick Ratio (MRQ),2.29
Interest Coverage (MRQ),-6286.25
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-21 00:00:00
researchTeam since,2022-11-21 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
