,BTRS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),8.23,9.39,Valuation,0.8764643237486688
Price/Book (MRQ),6.18,12.63,Valuation,0.4893111638954869
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5948,0.7206,Profitability,0.8254232583957812
Operating Profit Margin (TTM),-0.44689999999999996,0.2172,Profitability,-2.057550644567219
Net Profit Margin (TTM),-0.43310000000000004,0.1553,Profitability,-2.7887958789439797
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.38939999999999997,-0.0752,Gowth rates,5.178191489361701
EPS Growth (TTM),-0.6124,-0.2824,Gowth rates,2.1685552407932014
Revenue Growth (MRQ),0.042300000000000004,0.15560000000000002,Gowth rates,0.2718508997429306
Revenue Growth (TTM),0.1663,0.1906,Gowth rates,0.8725078698845751
Return On Equity (TTM),-0.2863,0.2189,Effectiveness,-1.3079031521242577
Return On Assets (TTM),-0.1949,0.10740000000000001,Effectiveness,-1.8147113594040967
Return On Investment (TTM),-0.24350000000000002,0.1387,Effectiveness,-1.7555875991348235
Revenue Per Employee (TTM),275326.0,667721.0,Effectiveness,0.41233688920971484
Total Debt/Total Capital (MRQ),0.0023,0.39659999999999995,Financial strength,0.005799293998991427
Change in Debt/Total Capital Quarter over Quarter,0.0477,0.0004,Financial strength,119.24999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
