,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.05,17.89,19.76,9.49,,,,,
low,9.6,9.25,6.61,3.95,,,,,
change,0.022799999999999997,0.6342,-0.517,0.2023,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,187672.0,107839.0,147970.0,145915.0,Balance Sheet
Short Term Investments,,,,,45117.0,45156.0,0.0,0.0,Balance Sheet
Cash and Short Term Invs,,,,,232789.0,152995.0,147970.0,145915.0,Balance Sheet
"Total Receivables, Net",,,,,34394.0,39226.0,42305.0,43979.0,Balance Sheet
Prepaid Expenses,,,,,3715.0,7396.0,7067.0,5881.0,Balance Sheet
"Other Curr. Assets, Total",,,,,28765.0,25708.0,29707.0,23553.0,Balance Sheet
Total Current Assets,,,,,299663.0,225325.0,227049.0,219328.0,Balance Sheet
Buildings,,,,,12127.0,7537.0,7471.0,5985.0,Balance Sheet
Machinery/Equipment,,,,,9174.0,9434.0,10317.0,10510.0,Balance Sheet
Construction in Progress,,,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,39418.0,28631.0,32101.0,27937.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,60719.0,45602.0,49889.0,44432.0,Balance Sheet
Accumulated Depreciation,,,,,-16580.0,-13937.0,-19269.0,-19286.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,44139.0,31665.0,30620.0,25146.0,Balance Sheet
"Goodwill, Net",,,,,88148.0,127369.0,122120.0,115970.0,Balance Sheet
Intangibles - Gross,,,,,29809.0,56254.0,53735.0,50779.0,Balance Sheet
Accum. Intangible Amort.,,,,,-5470.0,-6427.0,-7605.0,-8663.0,Balance Sheet
Intangibles - Net,,,,,24339.0,49827.0,46130.0,42116.0,Balance Sheet
Other Long Term Assets,,,,,5122.0,4152.0,4768.0,5173.0,Balance Sheet
Total Assets,,,,,470649.0,447320.0,439927.0,417419.0,Balance Sheet
Accounts Payable,,,,,2968.0,3872.0,2099.0,2633.0,Balance Sheet
Accrued Expenses,,,,,46263.0,42155.0,47098.0,55257.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,163.0,274.0,224.0,229.0,Balance Sheet
Customer Advances,,,,,16890.0,24556.0,24958.0,27093.0,Balance Sheet
Other Payables,,,,,22541.0,19385.0,23052.0,16951.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,39431.0,43941.0,48010.0,44044.0,Balance Sheet
Total Current Liabilities,,,,,88825.0,90242.0,97431.0,102163.0,Balance Sheet
Total Long Term Debt,,,,,150.0,255.0,241.0,340.0,Balance Sheet
Total Debt,,,,,313.0,529.0,465.0,569.0,Balance Sheet
Deferred Income Tax,,,,,4338.0,10537.0,9648.0,8817.0,Balance Sheet
"Other Liabilities, Total",,,,,67702.0,60576.0,59801.0,54319.0,Balance Sheet
Total Liabilities,,,,,161015.0,161610.0,167121.0,165639.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,,,Balance Sheet
Common Stock,,,,,16.0,17.0,17.0,17.0,Balance Sheet
Additional Paid-In Capital,,,,,516987.0,523860.0,532409.0,540506.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-206077.0,-235104.0,-250315.0,-271524.0,Balance Sheet
"Other Equity, Total",,,,,-1292.0,-3063.0,-9305.0,-17219.0,Balance Sheet
Total Equity,,,,,309634.0,285710.0,272806.0,251780.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,470649.0,447320.0,439927.0,417419.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,159413.0,159954.0,160536.0,164648.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,3396.0,3396.0,3396.0,0.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,162809.0,163350.0,163932.0,164648.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,42880.0,45631.0,49276.0,51362.0,Income Statement
"Cost of Revenue, Total",,,,,17808.0,18907.0,19826.0,20109.0,Income Statement
Selling/Gen/Admin Expense,,,,,21860.0,18795.0,20683.0,25618.0,Income Statement
Labor & Related Expense,,,,,4054.0,4415.0,5161.0,4884.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,25914.0,23210.0,25844.0,30502.0,Income Statement
Research & Development,,,,,14411.0,15105.0,15874.0,15943.0,Income Statement
Depreciation/Amortization,,,,,1592.0,1861.0,2166.0,2191.0,Income Statement
Impair-Assets Held for Use,,,,,,13854.0,30.0,4636.0,Income Statement
Other Unusual Expnse (In),,,,,0.0,2234.0,964.0,702.0,Income Statement
Unusual Expense (Income),,,,,0.0,16088.0,994.0,5338.0,Income Statement
Total Operating Expense,,,,,59725.0,75171.0,64704.0,74083.0,Income Statement
Total Operating Income,,,,,-16845.0,-29540.0,-15428.0,-22721.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-5.0,-4.0,-4.0,-5.0,Income Statement
"Inter Income, Non-Operating",,,,,91.0,,,,Income Statement
"Invest Income, Non-Operat",,,,,40.0,22.0,-260.0,360.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,131.0,22.0,-260.0,360.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,0.0,70.0,186.0,906.0,Income Statement
"Other, Net",,,,,0.0,70.0,186.0,906.0,Income Statement
Income Before Tax,,,,,-16719.0,-29452.0,-15506.0,-21460.0,Income Statement
Income Tax - Total,,,,,-243.0,-425.0,-295.0,-251.0,Income Statement
Income After Tax,,,,,-16476.0,-29027.0,-15211.0,-21209.0,Income Statement
Net Inc Before Extra Items,,,,,-16476.0,-29027.0,-15211.0,-21209.0,Income Statement
Total Net Income,,,,,-16476.0,-29027.0,-15211.0,-21209.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-16476.0,-29027.0,-15211.0,-21209.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-16476.0,-29027.0,-15211.0,-21209.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,164783.0,162974.0,163596.0,164175.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.1,-0.18,-0.09,-0.13,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.1,-0.18,-0.09,-0.13,Income Statement
Diluted Weighted Average Shares,,,,,164783.0,162974.0,163596.0,164175.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.1,-0.18,-0.09,-0.13,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.1,-0.18,-0.09,-0.13,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,5.0,4.0,4.0,5.0,Income Statement
"Depreciat/Amort, Suppl",,,,,892.0,900.0,900.0,1000.0,Income Statement
Total Special Items,,,,,0.0,16088.0,994.0,5338.0,Income Statement
Normalzd Income Before Tax,,,,,-16719.0,-13364.0,-14512.0,-16122.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,5631.0,348.0,1868.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,-243.0,5206.0,53.0,1617.0,Income Statement
Normalized Income After Tax,,,,,-16476.0,-18570.0,-14565.0,-17739.0,Income Statement
Normalzd Inc Avail to Common,,,,,-16476.0,-18570.0,-14565.0,-17739.0,Income Statement
Basic Normalized EPS,,,,,-0.1,-0.11,-0.09,-0.11,Income Statement
Diluted Normalized EPS,,,,,-0.1,-0.11,-0.09,-0.11,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-61200.0,-29027.0,-44238.0,-65447.0,Cash Flow
Depreciation/Depletion,,,,,5516.0,1861.0,4027.0,6218.0,Cash Flow
Deferred Taxes,,,,,-137.0,-430.0,-725.0,-935.0,Cash Flow
Unusual Items,,,,,12795.0,14453.0,15369.0,20760.0,Cash Flow
Other Non-Cash Items,,,,,28983.0,6049.0,13402.0,20437.0,Cash Flow
Non-Cash Items,,,,,41778.0,20502.0,28771.0,41197.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,0.0,,,,Cash Flow
"Cash Interest Pd, Suppl",,,,,135.0,0.0,0.0,0.0,Cash Flow
Accounts Receivable,,,,,-10420.0,-2694.0,-6013.0,-7800.0,Cash Flow
Prepaid Expenses,,,,,-755.0,-3680.0,-3386.0,-2139.0,Cash Flow
Other Assets,,,,,496.0,1359.0,-1.0,-805.0,Cash Flow
Accounts Payable,,,,,786.0,-1413.0,-3071.0,-2524.0,Cash Flow
Accrued Expenses,,,,,12315.0,-5453.0,26.0,6931.0,Cash Flow
Changes in Working Capital,,,,,4483.0,-13034.0,-13597.0,-9400.0,Cash Flow
Total Cash from Operations,,,,,-9560.0,-20128.0,-25762.0,-28367.0,Cash Flow
Capital Expenditures,,,,,-1633.0,-454.0,-922.0,-1364.0,Cash Flow
Acquisition of Business,,,,,-56833.0,-59456.0,-59456.0,-59456.0,Cash Flow
Sale/Maturity of Investment,,,,,,,45174.0,45174.0,Cash Flow
Purchase of Investments,,,,,-45117.0,-39.0,-57.0,-57.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-101950.0,-59495.0,-14339.0,-14339.0,Cash Flow
Total Cash from Investing,,,,,-103583.0,-59949.0,-15261.0,-15703.0,Cash Flow
Financing Cash Flow Items,,,,,280601.0,-3762.0,-95.0,-6195.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,6742.0,845.0,2119.0,3274.0,Cash Flow
Long Term Debt Issued,,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,,-228.0,-23.0,-145.0,-223.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-228.0,-23.0,-145.0,-223.0,Cash Flow
Total Cash From Financing,,,,,287115.0,-2940.0,1879.0,-3144.0,Cash Flow
Foreign Exchange Effects,,,,,-6.0,30.0,-45.0,-125.0,Cash Flow
Net Change in Cash,,,,,173966.0,-82987.0,-39189.0,-47339.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,38843.0,212809.0,212809.0,212809.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,212809.0,129822.0,173620.0,165470.0,Cash Flow
"Depreciation, Supplemental",,,,,5516.0,1861.0,4027.0,6218.0,Cash Flow
Free Cash Flow,,,,,-11193.0,-20582.0,-26684.0,-29731.0,
FCF Growth,,,,,,0.8388278388278387,0.2964726460013605,0.11418827761954731,
