,BTRS
% Below High,0.0042
% Held by Institutions,0.7796
52-Wk Range,['3.95 - 9.49']
Annual Dividend $,
Annual Dividend %,
Ask,9.49
Ask Size,10100.0
B/A Ratio,0.1188118811881188
B/A Size,1200x10100
Beta,
Bid,9.45
Bid Size,1200.0
Closing Price,9.45
Day Change $,0.0
Day Change %,0.0
Day High,9.47
Day Low,9.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.8170000000000001
Last (size),48.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.45
Short Interest,0.0669
Today's Open,9.46
Volume,551418.0
Volume 10-day Avg,1528640.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4
Growth 2yr High Est,-0.5135135135135136
Growth 2yr Consensus Est,-0.4567567567567568
Growth 5yr Low Est,-0.4
Growth 5yr High Est,-0.5135135135135136
Growth 5yr Consensus Est,-0.4567567567567568
Growth 5yr Actual/Est,-0.2673094878977232
Growth 3yr Historic,-0.14215686274509806
Price/Earnings (TTM),
Price/Sales (TTM),8.22941
Price/Book (MRQ),6.17969
Price/Cash Flow (TTM),
5yr Low,3.95
5yr High,19.76
5yr Avg Return,0.08557500000000001
Short Int Current Month,9221850.0
Short Int Prev Month,8108906.0
Short Int Pct of Float,0.0669063
Days to Cover,3.83467
Float,134.4313
Shares Outstanding,164.7179
Institutions Holding Shares,200.0
FCF Growth 5yr,0.4164962541495822
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5948
Operating Profit Margin (TTM),-0.44689999999999996
Net Profit Margin (TTM),-0.43310000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.38939999999999997
EPS Growth (TTM),-0.6124
Revenue Growth (MRQ),0.042300000000000004
Revenue Growth (TTM),0.1663
Return On Equity (TTM),-0.2863
Return On Assets (TTM),-0.1949
Return On Investment (TTM),-0.24350000000000002
Revenue Per Employee (TTM),275326.0
Total Debt/Total Capital (MRQ),0.0023
Change in Debt/Total Capital Quarter over Quarter,0.0477
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-12 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
theStreet since,2022-05-12 00:00:00
newConstructs since,
marketEdge opinion since,
