,JKHY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.17,53.12,Valuation,0.7185617469879518
Price/Sales (TTM),7.04,19.35,Valuation,0.36382428940568473
Price/Book (MRQ),9.55,19.03,Valuation,0.5018392012611665
"PEG Ratio (TTM, GAAP)",4.24,3.41,Valuation,1.2434017595307918
Gross Profit Margin (TTM),0.4203,0.44520000000000004,Profitability,0.9440700808625336
Operating Profit Margin (TTM),0.24280000000000002,0.3027,Profitability,0.8021143045920053
Net Profit Margin (TTM),0.1852,0.23600000000000002,Profitability,0.7847457627118644
Annual Dividend Yield,0.0102,0.010400000000000001,Dividend,0.9807692307692307
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.3239,-3.5570999999999997,Gowth rates,-0.09105732197576678
EPS Growth (TTM),0.1655,0.15560000000000002,Gowth rates,1.063624678663239
Revenue Growth (MRQ),0.09640000000000001,0.16460000000000002,Gowth rates,0.5856622114216282
Revenue Growth (TTM),0.10560000000000001,0.2273,Gowth rates,0.46458424989001323
Return On Equity (TTM),0.2572,0.5459,Effectiveness,0.4711485620076936
Return On Assets (TTM),0.1512,0.1131,Effectiveness,1.336870026525199
Return On Investment (TTM),0.1856,0.189,Effectiveness,0.9820105820105819
Revenue Per Employee (TTM),289766.0,686063.0,Effectiveness,0.42236062868861896
Total Debt/Total Capital (MRQ),0.1436,0.5613,Financial strength,0.25583466951719225
Change in Debt/Total Capital Quarter over Quarter,0.0233,0.0048,Financial strength,4.854166666666667
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),98.82,27.21,Financial strength,3.6317530319735387
