,JKHY
% Below High,0.09970000000000001
% Held by Institutions,0.9031
52-Wk Range,['147.50 - 212.62']
Annual Dividend $,1.96
Annual Dividend %,0.0102
Ask,191.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,190.9
Bid Size,100.0
Closing Price,191.42
Day Change $,1.36
Day Change %,0.0072
Day High,191.76
Day Low,190.29
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",5.02
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.256
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,14.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",38.17
Prev Close,190.06
Short Interest,0.0342
Today's Open,190.31
Volume,196633.0
Volume 10-day Avg,596458.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.016597510373443924
Growth 1yr High Est,0.10699588477366251
Growth 1yr Consensus Est,0.061796697573553216
Growth 2yr Low Est,0.03789059192141586
Growth 2yr High Est,0.10089571190355984
Growth 2yr Consensus Est,0.06939315191248785
Growth 5yr Low Est,0.08423799198648674
Growth 5yr High Est,0.1121723423539085
Growth 5yr Consensus Est,0.09820516717019762
Growth 5yr Actual/Est,0.09723540912104106
Growth 3yr Historic,0.06659665979174006
Price/Earnings (TTM),38.16607
Price/Sales (TTM),7.03819
Price/Book (MRQ),9.55179
Price/Cash Flow (TTM),25.55573
5yr Low,112.3
5yr High,212.62
5yr Avg Return,0.09154999999999999
EPS Growth 5yr,0.10979570000000001
Revenue Growth 5yr,0.0695309
Dividend Growth 5yr,
Short Int Current Month,2474866.0
Short Int Prev Month,2194668.0
Short Int Pct of Float,0.034236
Days to Cover,3.4086
Float,72.29022
Shares Outstanding,72.94943
Institutions Holding Shares,973.0
FCF Growth 5yr,0.3081482388807229
"Price/Earnings (TTM, GAAP)",38.17
"PEG Ratio (TTM, GAAP)",4.24
Gross Profit Margin (TTM),0.4203
Operating Profit Margin (TTM),0.24280000000000002
Net Profit Margin (TTM),0.1852
Annual Dividend Yield,0.0102
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3239
EPS Growth (TTM),0.1655
Revenue Growth (MRQ),0.09640000000000001
Revenue Growth (TTM),0.10560000000000001
Return On Equity (TTM),0.2572
Return On Assets (TTM),0.1512
Return On Investment (TTM),0.1856
Revenue Per Employee (TTM),289766.0
Total Debt/Total Capital (MRQ),0.1436
Change in Debt/Total Capital Quarter over Quarter,0.0233
Quick Ratio (MRQ),
Interest Coverage (MRQ),98.82
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2009-05-28 00:00:00
researchTeam since,2021-04-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-08-22 00:00:00
ford since,2021-12-17 00:00:00
marketEdge opinion since,
