,MDRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.72,-5.17,Valuation,-3.8143133462282397
Price/Sales (TTM),2.42,11.27,Valuation,0.21472937000887313
Price/Book (MRQ),1.72,5.79,Valuation,0.2970639032815199
"PEG Ratio (TTM, GAAP)",,0.15,Valuation,
Gross Profit Margin (TTM),0.4842,0.6652,Profitability,0.7279013830426939
Operating Profit Margin (TTM),0.0808,-0.46950000000000003,Profitability,-0.17209797657082002
Net Profit Margin (TTM),0.1433,-0.4687,Profitability,-0.3057392788564114
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),2.4722,-0.6163000000000001,Gowth rates,-4.011358104819081
EPS Growth (TTM),3.9114,-0.35350000000000004,Gowth rates,-11.064780763790663
Revenue Growth (MRQ),0.0068000000000000005,0.24050000000000002,Gowth rates,0.028274428274428273
Revenue Growth (TTM),0.20070000000000002,0.3728,Gowth rates,0.5383583690987125
Return On Equity (TTM),0.09240000000000001,-0.09480000000000001,Effectiveness,-0.9746835443037974
Return On Assets (TTM),0.0575,-0.1218,Effectiveness,-0.4720853858784893
Return On Investment (TTM),0.07150000000000001,-0.049,Effectiveness,-1.459183673469388
Revenue Per Employee (TTM),104649.0,454654.0,Effectiveness,0.23017283472706718
Total Debt/Total Capital (MRQ),0.1454,0.2084,Financial strength,0.6976967370441459
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.009000000000000001,Financial strength,-0.23333333333333328
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),13.42,-7.93,Financial strength,-1.6923076923076923
