,CMA
% Above Low,0.1207
% Held by Institutions,0.8364
52-Wk Range,['64.11 - 102.09']
Annual Dividend $,2.72
Annual Dividend %,0.0379
Ask,88.38
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,65.0
Bid Size,100.0
Closing Price,71.85
Day Change $,0.1
Day Change %,0.0014000000000000002
Day High,72.19
Day Low,71.5
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.55
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.381
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.52
Prev Close,71.75
Short Interest,0.021400000000000002
Today's Open,72.03
Volume,279461.0
Volume 10-day Avg,1091627.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.007352941176470673
Growth 1yr High Est,0.029691211401425166
Growth 1yr Consensus Est,0.011169135112477246
Growth 2yr Low Est,0.03274328249818442
Growth 2yr High Est,0.13537617086795595
Growth 2yr Consensus Est,0.08405972668307019
Growth 5yr Low Est,0.03199664124909221
Growth 5yr High Est,0.0844814948129387
Growth 5yr Consensus Est,0.05823906803101546
Growth 5yr Actual/Est,0.29213746299257587
Growth 3yr Historic,0.24225468138597772
Price/Earnings (TTM),9.51912
Price/Sales (TTM),2.88264
Price/Book (MRQ),2.01212
Price/Cash Flow (TTM),8.55357
5yr Low,24.28
5yr High,102.66
5yr Avg Return,0.012749999999999992
EPS Growth 5yr,0.2550447
Revenue Growth 5yr,-0.0008395
Dividend Growth 5yr,0.2560587
Short Int Current Month,2785734.0
Short Int Prev Month,2973136.0
Short Int Pct of Float,0.021419399999999998
Days to Cover,1.47636
Float,130.1717
Shares Outstanding,130.9524
Institutions Holding Shares,776.0
FCF Growth 5yr,-1.2350574593664565
"Price/Earnings (TTM, GAAP)",9.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.40409999999999996
Net Profit Margin (TTM),0.3153
Annual Dividend Yield,0.0379
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.1392
EPS Growth (MRQ),0.34509999999999996
EPS Growth (TTM),-0.0792
Revenue Growth (MRQ),0.2998
Revenue Growth (TTM),0.18480000000000002
Return On Equity (TTM),0.16570000000000001
Return On Assets (TTM),0.0115
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
cfra since,2021-01-19 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-08-15 00:00:00
