,BATRK
% Below High,0.0305
% Held by Institutions,
52-Wk Range,['23.34 - 34.15']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,13.26
Bid Size,200.0
Closing Price,33.11
Day Change $,0.11
Day Change %,0.0033
Day High,33.45
Day Low,33.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.24
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,33.0
Short Interest,
Today's Open,33.05
Volume,64141.0
Volume 10-day Avg,165695.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6666666666666667
Growth 2yr High Est,-1.6923076923076923
Growth 2yr Consensus Est,-0.5128205128205128
Growth 5yr Low Est,0.6666666666666667
Growth 5yr High Est,-1.6923076923076923
Growth 5yr Consensus Est,-0.5128205128205128
Growth 5yr Actual/Est,-0.15452893409019233
Growth 3yr Historic,-0.14262417218543044
5yr Low,13.2
5yr High,34.15
5yr Avg Return,0.07400000000000001
FCF Growth 5yr,-0.7562792677735207
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
researchTeam,rating-box
ford,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
researchTeam since,
ford since,
theStreet since,
newConstructs since,
cfra since,
marketEdge opinion since,
