,SWAV
% Below High,0.1962
% Held by Institutions,0.9081999999999999
52-Wk Range,['113.36 - 320.54']
Annual Dividend $,
Annual Dividend %,
Ask,257.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,257.51
Bid Size,100.0
Day Change $,-6.61
Day Change %,-0.025
Day High,269.74
Day Low,256.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.35
Ex-dividend Date,No dividend
Historical Volatility,0.698
Last (size),2.0
Last (time),3:40p ET 11/28/22
Market Cap,9.3B
"P/E Ratio (TTM, GAAP)",112.33
Prev Close,264.27
Price,257.66
Short Interest,0.0352
Today's Open,264.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-2.42
Growth 1yr High Est,-2.6721311475409832
Growth 1yr Consensus Est,-2.5460655737704916
Growth 2yr Low Est,-1.148380281690141
Growth 2yr High Est,-0.9716864888031713
Growth 2yr Consensus Est,-1.0600333852466561
Growth 5yr Low Est,-0.765586854460094
Growth 5yr High Est,-0.6477909925354476
Growth 5yr Consensus Est,-0.7066889234977708
Growth 5yr Actual/Est,-3.2766562146992335
Growth 3yr Historic,-0.23486004790306675
Price/Earnings (TTM),112.3301
Price/Sales (TTM),22.21806
Price/Book (MRQ),26.82838
Price/Cash Flow (TTM),103.5497
5yr Low,22.01
5yr High,320.54
5yr Avg Return,0.8146249999999999
Short Int Current Month,1258095.0
Short Int Prev Month,1487049.0
Short Int Pct of Float,0.0351939
Days to Cover,2.064
Float,35.75573
Shares Outstanding,36.14229
Institutions Holding Shares,519.0
FCF Growth 5yr,-6.369499418653123
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",112.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8601000000000001
Operating Profit Margin (TTM),0.22260000000000002
Net Profit Margin (TTM),0.2048
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3601
EPS Growth (TTM),3.1403
Revenue Growth (MRQ),0.0877
Revenue Growth (TTM),1.4469999999999998
Return On Equity (TTM),0.3055
Return On Assets (TTM),0.22719999999999999
Return On Investment (TTM),0.2588
Revenue Per Employee (TTM),654323.0
Total Debt/Total Capital (MRQ),0.0401
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005
Quick Ratio (MRQ),6.02
Interest Coverage (MRQ),167.87
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-08 00:00:00
theStreet since,2022-03-08 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
