,SWAV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",112.33,61.36,Valuation,1.8306714471968708
Price/Sales (TTM),22.22,9.8,Valuation,2.26734693877551
Price/Book (MRQ),26.83,10.31,Valuation,2.6023278370514062
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.8601000000000001,0.6196,Profitability,1.3881536475145255
Operating Profit Margin (TTM),0.22260000000000002,0.047,Profitability,4.736170212765958
Net Profit Margin (TTM),0.2048,0.009300000000000001,Profitability,22.021505376344084
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.3601,-0.4858,Gowth rates,-0.7412515438452038
EPS Growth (TTM),3.1403,-0.2029,Gowth rates,-15.477082306554953
Revenue Growth (MRQ),0.0877,0.1161,Gowth rates,0.7553832902670112
Revenue Growth (TTM),1.4469999999999998,0.18300000000000002,Gowth rates,7.90710382513661
Return On Equity (TTM),0.3055,0.1068,Effectiveness,2.8604868913857677
Return On Assets (TTM),0.22719999999999999,0.0622,Effectiveness,3.652733118971061
Return On Investment (TTM),0.2588,0.0732,Effectiveness,3.53551912568306
Revenue Per Employee (TTM),654323.0,403586.0,Effectiveness,1.6212727894426466
Total Debt/Total Capital (MRQ),0.0401,0.3161,Financial strength,0.1268585890540968
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005,0.0125,Financial strength,-0.36000000000000004
Quick Ratio (MRQ),6.02,2.25,Financial strength,2.6755555555555555
Interest Coverage (MRQ),167.87,14.99,Financial strength,11.198799199466311
