,VVNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),1.17,3.81,Valuation,0.3070866141732283
Price/Book (MRQ),,2.94,Valuation,
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),,0.30350000000000005,Profitability,
Operating Profit Margin (TTM),-0.0168,0.047,Profitability,-0.35744680851063826
Net Profit Margin (TTM),-0.1119,0.024900000000000002,Profitability,-4.493975903614458
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),0.8741,-8.9082,Gowth rates,-0.09812307761388382
EPS Growth (TTM),0.6865000000000001,1.3234000000000001,Gowth rates,0.5187396100952093
Revenue Growth (MRQ),0.037000000000000005,0.0315,Gowth rates,1.1746031746031746
Revenue Growth (TTM),0.1818,0.1202,Gowth rates,1.5124792013311148
Return On Equity (TTM),,0.0073,Effectiveness,
Return On Assets (TTM),-0.0602,-0.0022,Effectiveness,27.36363636363636
Return On Investment (TTM),-0.08720000000000001,0.005699999999999999,Effectiveness,-15.298245614035093
Revenue Per Employee (TTM),143905.0,227358.0,Effectiveness,0.6329445192163901
Total Debt/Total Capital (MRQ),2.719,0.5721,Financial strength,4.752665617898968
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.001,Financial strength,-0.2
Quick Ratio (MRQ),0.42,0.56,Financial strength,0.7499999999999999
Interest Coverage (MRQ),-0.78,2.57,Financial strength,-0.30350194552529186
