,VVNT
% Below High,0.21989999999999998
% Held by Institutions,0.8237000000000001
52-Wk Range,['3.26 - 11.14']
Annual Dividend $,
Annual Dividend %,
Ask,9.66
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,8.23
Bid Size,100.0
Closing Price,8.69
Day Change $,0.04
Day Change %,0.0046
Day High,8.88
Day Low,8.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.85
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),36.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.65
Short Interest,0.016200000000000003
Today's Open,8.62
Volume,304314.0
Volume 10-day Avg,617376.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.71875
Growth 1yr High Est,-0.5847457627118644
Growth 1yr Consensus Est,-0.6517478813559322
Growth 2yr Low Est,-0.31076388888888884
Growth 2yr High Est,-0.5474749221722588
Growth 2yr Consensus Est,-0.4291194055305738
Growth 5yr Low Est,-0.15538194444444442
Growth 5yr High Est,-0.2737374610861294
Growth 5yr Consensus Est,-0.2145597027652869
Growth 5yr Actual/Est,-0.16997106241107512
Growth 3yr Historic,-0.14414414414414414
Price/Earnings (TTM),
Price/Sales (TTM),1.16602
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.26
5yr High,32.0
5yr Avg Return,0.07003333333333334
Short Int Current Month,3148779.0
Short Int Prev Month,3392637.0
Short Int Pct of Float,0.016183700000000002
Days to Cover,4.5027
Float,195.425
Shares Outstanding,213.3822
Institutions Holding Shares,162.0
FCF Growth 5yr,-1.2195700295085536
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0168
Net Profit Margin (TTM),-0.1119
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8741
EPS Growth (TTM),0.6865000000000001
Revenue Growth (MRQ),0.037000000000000005
Revenue Growth (TTM),0.1818
Return On Equity (TTM),
Return On Assets (TTM),-0.0602
Return On Investment (TTM),-0.08720000000000001
Revenue Per Employee (TTM),143905.0
Total Debt/Total Capital (MRQ),2.719
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.42
Interest Coverage (MRQ),-0.78
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
