,WEX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",73.96,53.11,Valuation,1.3925814347580492
Price/Sales (TTM),3.21,19.35,Valuation,0.16589147286821704
Price/Book (MRQ),4.44,19.03,Valuation,0.23331581713084604
"PEG Ratio (TTM, GAAP)",3.73,3.41,Valuation,1.093841642228739
Gross Profit Margin (TTM),0.6161,0.44520000000000004,Profitability,1.3838724168912846
Operating Profit Margin (TTM),0.1898,0.3027,Profitability,0.6270234555665675
Net Profit Margin (TTM),0.0581,0.23600000000000002,Profitability,0.24618644067796608
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-2.3183000000000002,-3.5569,Gowth rates,0.651775422418398
EPS Growth (TTM),1.4396000000000002,0.15560000000000002,Gowth rates,9.251928020565552
Revenue Growth (MRQ),0.029900000000000003,0.16460000000000002,Gowth rates,0.18165249088699878
Revenue Growth (TTM),0.2725,0.2273,Gowth rates,1.1988561372635285
Return On Equity (TTM),0.0581,0.5459,Effectiveness,0.10642974903828539
Return On Assets (TTM),0.0121,0.1131,Effectiveness,0.10698496905393456
Return On Investment (TTM),0.0201,0.18910000000000002,Effectiveness,0.10629296668429401
Revenue Per Employee (TTM),398114.0,686074.0,Effectiveness,0.5802785122304591
Total Debt/Total Capital (MRQ),0.632,0.5613,Financial strength,1.125957598432211
Change in Debt/Total Capital Quarter over Quarter,-0.0025,0.0048,Financial strength,-0.5208333333333334
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),4.34,27.21,Financial strength,0.15950018375597205
