,SHLS
% Below High,0.1008
% Held by Institutions,1.062
52-Wk Range,['9.58 - 32.43']
Annual Dividend $,
Annual Dividend %,
Ask,29.16
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,29.12
Bid Size,100.0
Day Change $,-1.87
Day Change %,-0.0603
Day High,30.87
Day Low,29.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.14
Ex-dividend Date,No dividend
Historical Volatility,0.918
Last (size),100.0
Last (time),2:13p ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",220.96
Prev Close,31.03
Price,29.16
Short Interest,0.0789
Today's Open,30.7
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.714285714285714
Growth 2yr High Est,1.84375
Growth 2yr Consensus Est,1.279017857142857
Growth 5yr Low Est,0.714285714285714
Growth 5yr High Est,1.84375
Growth 5yr Consensus Est,1.279017857142857
Growth 5yr Actual/Est,0.36406926406926415
Growth 3yr Historic,-0.12380952380952377
Price/Earnings (TTM),220.9642
Price/Sales (TTM),18.52099
Price/Book (MRQ),196.6102
Price/Cash Flow (TTM),155.895
5yr Low,9.58
5yr High,44.04
5yr Avg Return,-0.010549999999999997
Short Int Current Month,8841555.0
Short Int Prev Month,9138522.0
Short Int Pct of Float,0.0788529
Days to Cover,3.93241
Float,112.0978
Shares Outstanding,167.3246
Institutions Holding Shares,324.0
FCF Growth 5yr,0.09842866311509339
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",220.96
"PEG Ratio (TTM, GAAP)",2.99
Gross Profit Margin (TTM),0.3812
Operating Profit Margin (TTM),0.16280000000000003
Net Profit Margin (TTM),0.0805
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7923
EPS Growth (TTM),1.9521000000000002
Revenue Growth (MRQ),0.2359
Revenue Growth (TTM),0.3747
Return On Equity (TTM),1.1619
Return On Assets (TTM),0.049400000000000006
Return On Investment (TTM),0.054900000000000004
Revenue Per Employee (TTM),402202.0
Total Debt/Total Capital (MRQ),0.9243000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),4.2
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
