,SHLS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",220.96,35.65,Valuation,6.1980364656381495
Price/Sales (TTM),18.52,12.92,Valuation,1.4334365325077398
Price/Book (MRQ),196.61,9.0,Valuation,21.845555555555556
"PEG Ratio (TTM, GAAP)",2.99,0.29,Valuation,10.310344827586208
Gross Profit Margin (TTM),0.3812,0.2968,Profitability,1.284366576819407
Operating Profit Margin (TTM),0.16280000000000003,-0.5081,Profitability,-0.32040936823459953
Net Profit Margin (TTM),0.0805,-0.706,Profitability,-0.11402266288951843
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),0.7923,0.5871000000000001,Gowth rates,1.349514563106796
EPS Growth (TTM),1.9521000000000002,-1.2397,Gowth rates,-1.5746551585060904
Revenue Growth (MRQ),0.2359,0.28940000000000005,Gowth rates,0.8151347615756737
Revenue Growth (TTM),0.3747,0.22710000000000002,Gowth rates,1.649933949801849
Return On Equity (TTM),1.1619,0.10210000000000001,Effectiveness,11.380019588638588
Return On Assets (TTM),0.049400000000000006,0.0479,Effectiveness,1.0313152400835075
Return On Investment (TTM),0.054900000000000004,0.0575,Effectiveness,0.9547826086956522
Revenue Per Employee (TTM),402202.0,348568.0,Effectiveness,1.1538695462578321
Total Debt/Total Capital (MRQ),0.9243000000000001,0.3799,Financial strength,2.433008686496447
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.0017000000000000001,Financial strength,-1.2352941176470587
Quick Ratio (MRQ),1.45,1.37,Financial strength,1.0583941605839415
Interest Coverage (MRQ),4.2,9.61,Financial strength,0.4370447450572321
