,CWST
Price/Earnings (TTM),81.90604
Price/Sales (TTM),4.17294
Price/Book (MRQ),9.04636
Price/Cash Flow (TTM),25.01069
5yr Low,19.39
5yr High,92.75
5yr Avg Return,0.2971
EPS Growth 5yr,
Revenue Growth 5yr,0.09493080000000001
Dividend Growth 5yr,
Short Int Current Month,1113409.0
Short Int Prev Month,1260478.0
Short Int Pct of Float,0.0222472
Days to Cover,5.45521
Float,50.05193
Shares Outstanding,51.68025
Institutions Holding Shares,367.0
% Held by Institutions,1.010173
FCF Growth 5yr,0.6993342178251364
