,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.2,34.48,47.72,63.58,89.84,92.75,,,,,
low,19.39,22.15,26.75,34.35,53.43,63.9,,,,,
change,0.1793,0.2441,0.6522,0.3395,0.3689,-0.0014000000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,34.0,13.0,39.0,48.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,90.0,96.0,112.0,112.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-3.0,-4.0,-4.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,87.0,93.0,108.0,108.0,Balance Sheet
Other Receivables,,,,,,,0.0,,,,Balance Sheet
"Total Receivables, Net",,,,,,,87.0,93.0,108.0,108.0,Balance Sheet
Total Inventory,,,,,,,10.0,12.0,13.0,13.0,Balance Sheet
Prepaid Expenses,,,,,,,13.0,14.0,18.0,15.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,3.0,3.0,3.0,7.0,Balance Sheet
Total Current Assets,,,,,,,146.0,134.0,181.0,191.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,1618.0,1644.0,1685.0,1724.0,Balance Sheet
Accumulated Depreciation,,,,,,,-973.0,-997.0,-1016.0,-1039.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,738.0,741.0,762.0,778.0,Balance Sheet
"Goodwill, Net",,,,,,,233.0,258.0,263.0,272.0,Balance Sheet
Intangibles - Gross,,,,,,,152.0,163.0,163.0,166.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-58.0,-62.0,-66.0,-71.0,Balance Sheet
Intangibles - Net,,,,,,,94.0,101.0,97.0,95.0,Balance Sheet
Long Term Investments,,,,,,,11.0,11.0,11.0,11.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,44.0,41.0,34.0,26.0,Balance Sheet
Restricted Cash - LT,,,,,,,2.0,2.0,3.0,2.0,Balance Sheet
Other Long Term Assets,,,,,,,15.0,19.0,21.0,24.0,Balance Sheet
Total Assets,,,,,,,1284.0,1307.0,1371.0,1399.0,Balance Sheet
Accounts Payable,,,,,,,63.0,65.0,73.0,71.0,Balance Sheet
