,CWST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",81.91,49.52,Valuation,1.6540791599353795
Price/Sales (TTM),4.17,4.95,Valuation,0.8424242424242424
Price/Book (MRQ),9.05,8.39,Valuation,1.0786650774731823
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.33490000000000003,0.3995,Profitability,0.8382978723404255
Operating Profit Margin (TTM),0.08960000000000001,-0.031400000000000004,Profitability,-2.8535031847133756
Net Profit Margin (TTM),0.051,-0.042300000000000004,Profitability,-1.205673758865248
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),0.27340000000000003,0.2798,Gowth rates,0.9771265189421017
EPS Growth (TTM),-0.44090000000000007,0.017,Gowth rates,-25.93529411764706
Revenue Growth (MRQ),0.0409,6.526000000000001,Gowth rates,0.006267238737358258
Revenue Growth (TTM),0.2444,0.4152,Gowth rates,0.5886319845857418
Return On Equity (TTM),0.12029999999999999,0.24,Effectiveness,0.50125
Return On Assets (TTM),0.0402,0.08750000000000001,Effectiveness,0.45942857142857135
Return On Investment (TTM),0.046,0.11080000000000001,Effectiveness,0.41516245487364617
Revenue Per Employee (TTM),363723.0,300327.0,Effectiveness,1.2110899119959244
Total Debt/Total Capital (MRQ),0.5467000000000001,0.4451,Financial strength,1.2282633116153676
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0070999999999999995,Financial strength,-0.04225352112676056
Quick Ratio (MRQ),1.09,1.37,Financial strength,0.7956204379562044
Interest Coverage (MRQ),6.35,18.65,Financial strength,0.34048257372654156
