,GSAT
% Above Low,1.1385
% Held by Institutions,0.18289999999999998
52-Wk Range,['0.9025 - 2.98']
Annual Dividend $,
Annual Dividend %,
Ask,1.93
Ask Size,8900.0
B/A Ratio,0.6179775280898876
B/A Size,5500x8900
Beta,0.5
Bid,1.89
Bid Size,5500.0
Closing Price,1.93
Day Change $,0.03
Day Change %,0.0158
Day High,1.94
Day Low,1.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.15
Ex-dividend Date,No dividend
Historical Volatility,0.7120000000000001
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,1.9
Short Interest,0.0418
Today's Open,1.9
Volume,1289038.0
Volume 10-day Avg,6770804.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.1428571428571428
Growth 1yr High Est,1.5
Growth 1yr Consensus Est,1.3214285714285714
Growth 2yr Low Est,0.17142857142857137
Growth 2yr High Est,0.2833333333333333
Growth 2yr Consensus Est,0.22738095238095235
Growth 5yr Low Est,0.16984126984126982
Growth 5yr High Est,0.18888888888888888
Growth 5yr Consensus Est,0.1793650793650793
Growth 5yr Actual/Est,0.12261904761904757
Growth 3yr Historic,-0.035714285714285754
Price/Earnings (TTM),
Price/Sales (TTM),24.53488
Price/Book (MRQ),25.6307
Price/Cash Flow (TTM),
5yr Low,0.2302
5yr High,2.98
5yr Avg Return,0.31234999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0511443
Dividend Growth 5yr,
Short Int Current Month,28485543.0
Short Int Prev Month,34287050.0
Short Int Pct of Float,0.0418459
Days to Cover,3.25315
Float,681.0867
Shares Outstanding,1801.0
Institutions Holding Shares,224.0
FCF Growth 5yr,-2.1394947780362332
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.549
Operating Profit Margin (TTM),-1.595
Net Profit Margin (TTM),-1.9449
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-6.6328
EPS Growth (TTM),-1.3988999999999998
Revenue Growth (MRQ),0.022400000000000003
Revenue Growth (TTM),0.1519
Return On Equity (TTM),-1.0583
Return On Assets (TTM),-0.3379
Return On Investment (TTM),-0.3929
Revenue Per Employee (TTM),430617.0
Total Debt/Total Capital (MRQ),0.6592
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.39
Interest Coverage (MRQ),-1.26
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2021-12-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
