,GSAT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,7.61,Valuation,
Price/Sales (TTM),24.53,2.74,Valuation,8.952554744525548
Price/Book (MRQ),25.63,1.85,Valuation,13.854054054054053
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.549,0.5695,Profitability,0.9640035118525022
Operating Profit Margin (TTM),-1.595,0.0719,Profitability,-22.18358831710709
Net Profit Margin (TTM),-1.9449,0.0529,Profitability,-36.765595463138
Annual Dividend Yield,,0.0579,Dividend,
Dividend Change %,,0.010700000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0122,Dividend,
EPS Growth (MRQ),-6.6328,0.1478,Gowth rates,-44.876860622462786
EPS Growth (TTM),-1.3988999999999998,2.0171,Gowth rates,-0.6935204005750829
Revenue Growth (MRQ),0.022400000000000003,0.0105,Gowth rates,2.1333333333333333
Revenue Growth (TTM),0.1519,-0.0425,Gowth rates,-3.5741176470588236
Return On Equity (TTM),-1.0583,0.1605,Effectiveness,-6.593769470404984
Return On Assets (TTM),-0.3379,0.0242,Effectiveness,-13.962809917355372
Return On Investment (TTM),-0.3929,0.0487,Effectiveness,-8.06776180698152
Revenue Per Employee (TTM),430617.0,880084.0,Effectiveness,0.48929079496957106
Total Debt/Total Capital (MRQ),0.6592,0.5642,Financial strength,1.1683800070896844
Change in Debt/Total Capital Quarter over Quarter,0.0008,-0.0006,Financial strength,-1.3333333333333335
Quick Ratio (MRQ),0.39,0.68,Financial strength,0.5735294117647058
Interest Coverage (MRQ),-1.26,6.5,Financial strength,-0.19384615384615383
