,FCNCA
% Below High,0.1426
% Held by Institutions,0.647
52-Wk Range,['598.01 - 947.71']
Annual Dividend $,3.0
Annual Dividend %,0.0037
Ask,829.91
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,0.9
Bid,323.69
Bid Size,200.0
Closing Price,812.53
Day Change $,7.26
Day Change %,0.009000000000000001
Day High,815.78
Day Low,793.31
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",62.92
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.371
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,11.8B
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,805.27
Short Interest,0.0239
Today's Open,798.67
Volume,27827.0
Volume 10-day Avg,63587.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3055555555555556
Growth 2yr High Est,0.37425687819715203
Growth 2yr Consensus Est,0.3399062168763538
Growth 5yr Low Est,0.3055555555555556
Growth 5yr High Est,0.37425687819715203
Growth 5yr Consensus Est,0.3399062168763538
Growth 5yr Actual/Est,0.33690375380903315
Growth 3yr Historic,0.0
Price/Earnings (TTM),12.91269
Price/Sales (TTM),2.98186
Price/Book (MRQ),1.35931
Price/Cash Flow (TTM),9.49079
5yr Low,276.08
5yr High,947.71
5yr Avg Return,0.13973333333333335
EPS Growth 5yr,0.2347409
Revenue Growth 5yr,0.079951
Dividend Growth 5yr,0.0939446
Short Int Current Month,284453.0
Short Int Prev Month,373160.0
Short Int Pct of Float,0.023852699999999998
Days to Cover,3.70739
Float,13.71561
Shares Outstanding,16.00269
Institutions Holding Shares,491.0
FCF Growth 5yr,1.1503143321403952
"Price/Earnings (TTM, GAAP)",12.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.25989999999999996
Net Profit Margin (TTM),0.2231
Annual Dividend Yield,0.0037
Dividend Change %,0.17500000000000002
"Dividend Growth Rate, 3 Years",0.1033
EPS Growth (MRQ),0.298
EPS Growth (TTM),0.136
Revenue Growth (MRQ),0.1968
Revenue Growth (TTM),0.8855
Return On Equity (TTM),0.14
Return On Assets (TTM),0.0116
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.025099999999999997
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-12-01 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
